,Total uncertainty 1,standard deviation 1,mean 1,Total uncertainty 2,standard deviation 2,mean 2,Total uncertainty 3,standard deviation 3,Total uncertainty 4,standard deviation 4,mean 4,Total uncertainty 5,standard deviation 5,Total uncertainty 6,standard deviation 6,Total uncertainty 7,standard deviation 7,Total uncertainty 8,standard deviation 8,Total uncertainty 9a,standard deviation 9a,Total uncertainty 10,standard deviation 10,Total uncertainty 11,standard deviation 11,Total uncertainty 12,standard deviation 12,Total uncertainty 13,standard deviation 13,Total uncertainty 14,standard deviation 14,Total uncertainty 15,standard deviation 15,Total uncertainty 16,standard deviation 16,Total uncertainty 17,standard deviation 17,Total uncertainty 18,standard deviation 18,Total uncertainty 19,standard deviation 19,Total uncertainty 20,standard deviation 20,Total uncertainty 21,standard deviation 21,mean 21,Total uncertainty 22,standard deviation 22,Total uncertainty 23,standard deviation 23,Most probable total value (tCO2e/collaborator),Value of sum of declaration and averages,Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure,Interval lenght,id
count,783.0,783.0,783.0,783.0,783.0,783.0,783.0,0.0,783.0,783.0,783.0,783.0,0.0,783.0,783.0,783.0,783.0,783.0,0.0,783.0,783.0,783.0,783.0,783.0,0.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,0.0,783.0,0.0,783.0,0.0,783.0,783.0,783.0,783.0,783.0,783.0,0.0,783.0,783.0,783.0,779.0,771.0,739.0,783.0,752.0,783.0,783.0
mean,9.366666666666669,2.018281781938705,23.354734308438296,6.075000000000003,2.018281781938705,1.2540273820465089,6.799999999999997,,16.233333333333338,2.626972096291605,2.017552053543018,6.0,,5.75,2.018281781938705,6.450000000000003,2.055001436297168,0.0,,8.299999999999997,2.114597952594813,8.299999999999997,2.114597952594813,4.600000000000001,,11.1,2.114597952594813,8.700000000000003,2.207915744104127,6.233333333333334,2.114597952594813,0.9000000000000004,0.7702771223902047,8.700000000000003,2.207915744104127,11.1,2.114597952594813,0.0,,0.0,,0.0,,6.233333333333334,2.114597952594813,0.0,8.700000000000003,2.207915744104127,0.0,,112.68199233716476,129.1417961534595,0.5758135376756066,0.6356829268292683,0.5710609597924773,0.5504370771312584,0.05072158365261812,0.680225762804541,683.8202426564495,3716.44061302682
std,1.77749225456214e-15,4.44373063640535e-16,118.04803318683288,2.6662383818432106e-15,4.44373063640535e-16,4.858723085482171,3.55498450912428e-15,,3.55498450912428e-15,4.44373063640535e-16,34.89297933187483,0.0,,0.0,4.44373063640535e-16,3.55498450912428e-15,0.0,0.0,,1.77749225456214e-15,4.44373063640535e-16,1.77749225456214e-15,4.44373063640535e-16,8.8874612728107e-16,,1.77749225456214e-15,4.44373063640535e-16,3.55498450912428e-15,4.44373063640535e-16,8.8874612728107e-16,4.44373063640535e-16,3.332797977304013e-16,0.0,3.55498450912428e-15,4.44373063640535e-16,1.77749225456214e-15,4.44373063640535e-16,0.0,,0.0,,0.0,,8.8874612728107e-16,4.44373063640535e-16,0.0,3.55498450912428e-15,4.44373063640535e-16,0.0,,127.50817543666227,579.2497807388634,0.0787216175175461,0.06521351803386512,0.06464633189230112,0.05301697105295194,0.07516843239819754,0.1475125332350381,2466.8327243476806,2228.6201874440158
min,9.366666666666667,2.0182817819387053,0.0,6.075,2.0182817819387053,0.0,6.800000000000001,,16.233333333333334,2.6269720962916048,0.0,6.0,,5.75,2.0182817819387053,6.449999999999999,2.055001436297168,0.0,,8.299999999999999,2.1145979525948126,8.299999999999999,2.1145979525948126,4.6000000000000005,,11.100000000000001,2.1145979525948126,8.7,2.2079157441041266,6.233333333333333,2.1145979525948126,0.9,0.7702771223902047,8.7,2.2079157441041266,11.100000000000001,2.1145979525948126,0.0,,0.0,,0.0,,6.233333333333333,2.1145979525948126,0.0,8.7,2.2079157441041266,0.0,,0.0,0.0004666573335198996,0.485,0.46499999999999997,0.484,0.478,0.010000000000000009,0.1960784313725521,0.0,77.0
25%,9.366666666666667,2.0182817819387053,0.4343850072780203,6.075,2.0182817819387053,0.03073776380781315,6.800000000000001,,16.233333333333334,2.6269720962916048,0.0,6.0,,5.75,2.0182817819387053,6.449999999999999,2.055001436297168,0.0,,8.299999999999999,2.1145979525948126,8.299999999999999,2.1145979525948126,4.6000000000000005,,11.100000000000001,2.1145979525948126,8.7,2.2079157441041266,6.233333333333333,2.1145979525948126,0.9,0.7702771223902047,8.7,2.2079157441041266,11.100000000000001,2.1145979525948126,0.0,,0.0,,0.0,,6.233333333333333,2.1145979525948126,0.0,8.7,2.2079157441041266,0.0,,65.0,70.47062789198054,0.5329999999999999,0.596,0.5325,0.515,0.028999999999999804,0.5799507758570929,410.0,1731.5
50%,9.366666666666667,2.0182817819387053,1.4718387553041017,6.075,2.0182817819387053,0.1664282064384261,6.800000000000001,,16.233333333333334,2.6269720962916048,0.0204339963833634,6.0,,5.75,2.0182817819387053,6.449999999999999,2.055001436297168,0.0,,8.299999999999999,2.1145979525948126,8.299999999999999,2.1145979525948126,4.6000000000000005,,11.100000000000001,2.1145979525948126,8.7,2.2079157441041266,6.233333333333333,2.1145979525948126,0.9,0.7702771223902047,8.7,2.2079157441041266,11.100000000000001,2.1145979525948126,0.0,,0.0,,0.0,,6.233333333333333,2.1145979525948126,0.0,8.7,2.2079157441041266,0.0,,95.0,76.50483979043035,0.5469999999999999,0.654,0.558,0.5449999999999999,0.03400000000000003,0.6837606837606849,452.5,3918.0
75%,9.366666666666667,2.0182817819387053,4.634067720869025,6.075,2.0182817819387053,0.7137210884353742,6.800000000000001,,16.233333333333334,2.6269720962916048,0.13939614950779322,6.0,,5.75,2.0182817819387053,6.449999999999999,2.055001436297168,0.0,,8.299999999999999,2.1145979525948126,8.299999999999999,2.1145979525948126,4.6000000000000005,,11.100000000000001,2.1145979525948126,8.7,2.2079157441041266,6.233333333333333,2.1145979525948126,0.9,0.7702771223902047,8.7,2.2079157441041266,11.100000000000001,2.1145979525948126,0.0,,0.0,,0.0,,6.233333333333333,2.1145979525948126,0.0,8.7,2.2079157441041266,0.0,,135.0,82.71887605559839,0.571,0.6779999999999999,0.5840000000000001,0.571,0.039999999999999925,0.7830411466618543,510.0,5377.0
max,9.366666666666667,2.0182817819387053,1456.668,6.075,2.0182817819387053,76.53333333333333,6.800000000000001,,16.233333333333334,2.6269720962916048,953.8084745762712,6.0,,5.75,2.0182817819387053,6.449999999999999,2.055001436297168,0.0,,8.299999999999999,2.1145979525948126,8.299999999999999,2.1145979525948126,4.6000000000000005,,11.100000000000001,2.1145979525948126,8.7,2.2079157441041266,6.233333333333333,2.1145979525948126,0.9,0.7702771223902047,8.7,2.2079157441041266,11.100000000000001,2.1145979525948126,0.0,,0.0,,0.0,,6.233333333333333,2.1145979525948126,0.0,8.7,2.2079157441041266,0.0,,2085.0,13003.658102766798,0.982,0.904,0.999,0.957,0.835,0.9977324263038553,52210.0,8135.0
