,Total uncertainty 1,standard deviation 1,mean 1,Total uncertainty 2,standard deviation 2,mean 2,Total uncertainty 3,standard deviation 3,mean 3,Total uncertainty 4,standard deviation 4,mean 4,Total uncertainty 5,standard deviation 5,mean 5,Total uncertainty 6,standard deviation 6,Total uncertainty 7,standard deviation 7,Total uncertainty 8,standard deviation 8,Total uncertainty 9a,standard deviation 9a,Total uncertainty 10,standard deviation 10,Total uncertainty 11,standard deviation 11,Total uncertainty 12,standard deviation 12,Total uncertainty 13,standard deviation 13,Total uncertainty 14,standard deviation 14,Total uncertainty 15,standard deviation 15,Total uncertainty 16,standard deviation 16,Total uncertainty 17,standard deviation 17,Total uncertainty 18,standard deviation 18,Total uncertainty 19,standard deviation 19,Total uncertainty 20,standard deviation 20,Total uncertainty 21,standard deviation 21,mean 21,Total uncertainty 22,standard deviation 22,Total uncertainty 23,standard deviation 23,Most probable total value (tCO2e/collaborator),Value of sum of declaration and averages,Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure,Interval lenght,id,mean 11
count,783.0,783.0,783.0,783.0,783.0,783.0,783.0,744.0,744.0,783.0,783.0,783.0,783.0,768.0,768.0,783.0,783.0,783.0,783.0,783.0,0.0,783.0,783.0,783.0,783.0,783.0,16.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,0.0,783.0,0.0,783.0,0.0,783.0,783.0,783.0,783.0,783.0,783.0,0.0,783.0,783.0,783.0,779.0,772.0,746.0,783.0,740.0,783.0,783.0,16.0
mean,9.366666666666669,1.8880680131485634,23.354734308438296,6.075000000000003,1.996498809464518,1.2540273820465089,6.799999999999997,1.7831766905349022,0.35976524006853644,16.233333333333338,2.543993493171214,2.017552053543018,6.0,1.9002415406058841,0.002986445341001046,5.75,1.9732301566930355,6.450000000000003,1.93059630281827,0.0,,8.299999999999997,1.9601285569424676,8.299999999999997,2.111763651757155,4.600000000000001,1.2362151337888387,11.1,2.114597952594813,8.700000000000003,2.201628659486028,6.233333333333334,2.114597952594813,0.9000000000000004,0.7702771223902047,8.700000000000003,1.9741147848685527,11.1,2.114597952594813,0.0,,0.0,,0.0,,6.233333333333334,2.114597952594813,0.0,8.700000000000003,2.135614270995983,0.0,,113.28863346104725,129.63295837159862,0.5803371647509579,0.6415237483953786,0.5722007772020726,0.5552680965147453,0.051002554278416316,0.7005883241490668,556.551724137931,3716.44061302682,7.1638180106278195
std,1.77749225456214e-15,0.18011083221098712,118.04803318683288,2.6662383818432106e-15,0.08827070011925926,4.858723085482171,3.55498450912428e-15,2.221939790454742e-16,1.5483450210344074,3.55498450912428e-15,0.25142045730515955,34.89297933187483,0.0,0.0,0.03370178684784901,0.0,0.11714384312788208,3.55498450912428e-15,0.1406270430114872,0.0,,1.77749225456214e-15,0.025024919018723907,1.77749225456214e-15,0.02101951067845526,8.8874612728107e-16,2.293266818639604e-16,1.77749225456214e-15,4.44373063640535e-16,3.55498450912428e-15,0.043557656001433256,8.8874612728107e-16,4.44373063640535e-16,3.332797977304013e-16,0.0,3.55498450912428e-15,0.13150559630943215,1.77749225456214e-15,4.44373063640535e-16,0.0,,0.0,,0.0,,8.8874612728107e-16,4.44373063640535e-16,0.0,3.55498450912428e-15,0.13053565422157334,0.0,,114.24167169182829,579.2639739419592,0.08375702427698975,0.06417513303508057,0.06150418752980377,0.057690407013110276,0.07202921042599758,0.1382965109705495,2132.5858035346578,2228.6201874440158,7.406101762379224
min,9.366666666666667,1.6392580608878475,0.0,6.075,1.6392580608878475,0.0,6.800000000000001,1.7831766905349025,0.0,16.233333333333334,1.7831766905349025,0.0,6.0,1.9002415406058841,0.0,5.75,1.669020172360893,6.449999999999999,1.7718351005007222,0.0,,8.299999999999999,1.9560795557458144,8.299999999999999,1.9560795557458144,4.6000000000000005,1.236215133788839,11.100000000000001,2.1145979525948126,8.7,1.9002415406058841,6.233333333333333,2.1145979525948126,0.9,0.7702771223902047,8.7,1.9002415406058841,11.100000000000001,2.1145979525948126,0.0,,0.0,,0.0,,6.233333333333333,2.1145979525948126,0.0,8.7,1.9002415406058841,0.0,,0.0,0.0004666573335198996,0.483,0.469,0.475,0.475,0.015000000000000124,0.17543859649122764,0.0,77.0,2.246492985971944
25%,9.366666666666667,1.6392580608878475,0.4343850072780203,6.075,2.0182817819387053,0.03073776380781315,6.800000000000001,1.7831766905349025,0.0,16.233333333333334,2.6269720962916048,0.0,6.0,1.9002415406058841,0.0,5.75,2.0182817819387053,6.449999999999999,1.7718351005007222,0.0,,8.299999999999999,1.9560795557458144,8.299999999999999,2.1145979525948126,4.6000000000000005,1.236215133788839,11.100000000000001,2.1145979525948126,8.7,2.2079157441041266,6.233333333333333,2.1145979525948126,0.9,0.7702771223902047,8.7,1.9002415406058841,11.100000000000001,2.1145979525948126,0.0,,0.0,,0.0,,6.233333333333333,2.1145979525948126,0.0,8.7,2.2079157441041266,0.0,,65.0,70.59644159059809,0.5349999999999999,0.597,0.5349999999999999,0.518,0.029999999999999916,0.6090028204266993,355.0,1731.5,2.7702977313974593
50%,9.366666666666667,2.0182817819387053,1.4718387553041017,6.075,2.0182817819387053,0.1664282064384261,6.800000000000001,1.7831766905349025,0.0,16.233333333333334,2.6269720962916048,0.0204339963833634,6.0,1.9002415406058841,0.0,5.75,2.0182817819387053,6.449999999999999,2.055001436297168,0.0,,8.299999999999999,1.9560795557458144,8.299999999999999,2.1145979525948126,4.6000000000000005,1.236215133788839,11.100000000000001,2.1145979525948126,8.7,2.2079157441041266,6.233333333333333,2.1145979525948126,0.9,0.7702771223902047,8.7,1.9002415406058841,11.100000000000001,2.1145979525948126,0.0,,0.0,,0.0,,6.233333333333333,2.1145979525948126,0.0,8.7,2.2079157441041266,0.0,,95.0,76.6946942511584,0.5489999999999999,0.663,0.558,0.5489999999999999,0.03500000000000003,0.6981981981982013,390.0,3918.0,4.048409681936388
75%,9.366666666666667,2.0182817819387053,4.634067720869025,6.075,2.0182817819387053,0.7137210884353742,6.800000000000001,1.7831766905349025,0.0,16.233333333333334,2.6269720962916048,0.13939614950779322,6.0,1.9002415406058841,0.0,5.75,2.0182817819387053,6.449999999999999,2.055001436297168,0.0,,8.299999999999999,1.9560795557458144,8.299999999999999,2.1145979525948126,4.6000000000000005,1.236215133788839,11.100000000000001,2.1145979525948126,8.7,2.2079157441041266,6.233333333333333,2.1145979525948126,0.9,0.7702771223902047,8.7,1.9002415406058841,11.100000000000001,2.1145979525948126,0.0,,0.0,,0.0,,6.233333333333333,2.1145979525948126,0.0,8.7,2.2079157441041266,0.0,,130.0,83.21465636880305,0.577,0.683,0.5880000000000001,0.577,0.042999999999999705,0.7954545454545355,425.0,5377.0,5.993325379176741
max,9.366666666666667,2.0182817819387053,1456.668,6.075,2.0182817819387053,76.53333333333333,6.800000000000001,1.7831766905349025,12.752564102564104,16.233333333333334,2.6269720962916048,953.8084745762712,6.0,1.9002415406058841,0.58,5.75,2.0182817819387053,6.449999999999999,2.055001436297168,0.0,,8.299999999999999,2.1145979525948126,8.299999999999999,2.1145979525948126,4.6000000000000005,1.236215133788839,11.100000000000001,2.1145979525948126,8.7,2.2079157441041266,6.233333333333333,2.1145979525948126,0.9,0.7702771223902047,8.7,2.2079157441041266,11.100000000000001,2.1145979525948126,0.0,,0.0,,0.0,,6.233333333333333,2.1145979525948126,0.0,8.7,2.2079157441041266,0.0,,1630.0,13003.658102766798,0.984,0.902,0.958,0.955,0.821,0.9969788519637468,42635.0,8135.0,24.193038607721544
