,Total uncertainty 1,standard deviation 1,mean 1,Total uncertainty 2,standard deviation 2,mean 2,Total uncertainty 3,standard deviation 3,mean 3,Total uncertainty 4,standard deviation 4,mean 4,Total uncertainty 5,standard deviation 5,mean 5,Total uncertainty 6,standard deviation 6,Total uncertainty 7,standard deviation 7,Total uncertainty 8,standard deviation 8,Total uncertainty 9,standard deviation 9,Total uncertainty 10,standard deviation 10,Total uncertainty 11,standard deviation 11,Total uncertainty 12,standard deviation 12,Total uncertainty 13,standard deviation 13,Total uncertainty 14,standard deviation 14,Total uncertainty 15,standard deviation 15,Total uncertainty 16,standard deviation 16,Total uncertainty 17,standard deviation 17,Total uncertainty 18,standard deviation 18,Total uncertainty 19,standard deviation 19,Total uncertainty 20,standard deviation 20,Total uncertainty 21,standard deviation 21,mean 21,Total uncertainty 22,standard deviation 22,Total uncertainty 23,standard deviation 23,Most probable total value (tCO2e/collaborator),Value of sum of declaration and averages,Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure,Interval lenght,id
count,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,0.0,0.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,778.0,751.0,634.0,337.0,744.0,707.0,783.0,783.0
mean,3.7000000000000006,1.6392580608878478,23.354734308438296,3.7000000000000006,1.6392580608878478,1.2540273820465089,4.799999999999998,1.7831766905349022,21.387383118318805,4.799999999999998,1.7831766905349022,2.017552053543018,6.0,1.900241540605884,0.6798653932007729,3.8999999999999986,1.6690201723608926,4.700000000000002,1.7718351005007225,0.0,0.0,,,6.700000000000003,1.956079555745814,1.8999999999999997,1.236215133788839,9.299999999999997,2.114597952594813,6.0,1.900241540605884,2.6999999999999993,1.4543211368701223,0.9000000000000004,0.7702771223902047,6.0,1.900241540605884,9.299999999999997,2.114597952594813,0.0,0.0,0.0,0.0,0.0,0.0,2.6999999999999993,1.4543211368701223,0.0,6.0,1.900241540605884,0.0,0.0,79.64878671775223,116.47602889498143,0.6730232647814911,0.6582509986684422,0.675292429022082,0.6690169139465875,0.2451188172043011,0.6988588738530901,451.29469987228606,3716.44061302682
std,4.44373063640535e-16,2.221865318202675e-16,118.04803318683288,4.44373063640535e-16,2.221865318202675e-16,4.858723085482171,1.77749225456214e-15,2.221865318202675e-16,167.74612385888213,1.77749225456214e-15,2.221865318202675e-16,34.89297933187483,0.0,2.221865318202675e-16,14.354296412841931,1.3331191909216053e-15,4.44373063640535e-16,1.77749225456214e-15,2.221865318202675e-16,0.0,0.0,,,2.6662383818432106e-15,4.44373063640535e-16,2.221865318202675e-16,0.0,3.55498450912428e-15,4.44373063640535e-16,0.0,2.221865318202675e-16,8.8874612728107e-16,4.44373063640535e-16,3.332797977304013e-16,0.0,0.0,2.221865318202675e-16,3.55498450912428e-15,4.44373063640535e-16,0.0,0.0,0.0,0.0,0.0,0.0,8.8874612728107e-16,4.44373063640535e-16,0.0,0.0,2.221865318202675e-16,0.0,0.0,169.25414997668946,593.0770110520126,0.15061299861738112,0.15627067379710544,0.18024588753751172,0.22514427327926403,0.192371307829735,0.10249732103307815,2404.9786802471035,2228.6201874440158
min,3.7,1.6392580608878475,0.0,3.7,1.6392580608878475,0.0,4.8,1.7831766905349025,0.0,4.8,1.7831766905349025,0.0,6.0,1.9002415406058841,0.0,3.9,1.669020172360893,4.7,1.7718351005007222,0.0,0.0,,,6.7,1.9560795557458144,1.9,1.236215133788839,9.3,2.1145979525948126,6.0,1.9002415406058841,2.7,1.4543211368701219,0.9,0.7702771223902047,6.0,1.9002415406058841,9.3,2.1145979525948126,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.4543211368701219,0.0,6.0,1.9002415406058841,0.0,0.0,0.0,0.0004666573335198996,0.0004999999999999449,0.0010999999999999899,0.00770000000000004,0.0010999999999999899,0.0014999999999999458,0.17666126418152328,0.0,77.0
25%,3.7,1.6392580608878475,0.4343850072780203,3.7,1.6392580608878475,0.03073776380781315,4.8,1.7831766905349025,0.0,4.8,1.7831766905349025,0.0,6.0,1.9002415406058841,0.0,3.9,1.669020172360893,4.7,1.7718351005007222,0.0,0.0,,,6.7,1.9560795557458144,1.9,1.236215133788839,9.3,2.1145979525948126,6.0,1.9002415406058841,2.7,1.4543211368701219,0.9,0.7702771223902047,6.0,1.9002415406058841,9.3,2.1145979525948126,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.4543211368701219,0.0,6.0,1.9002415406058841,0.0,0.0,40.0,41.00441621883318,0.581825,0.55825,0.5649249999999999,0.5571999999999999,0.0893750000000001,0.6275378209290023,185.0,1731.5
50%,3.7,1.6392580608878475,1.4718387553041017,3.7,1.6392580608878475,0.1664282064384261,4.8,1.7831766905349025,0.0,4.8,1.7831766905349025,0.0204339963833634,6.0,1.9002415406058841,0.0,3.9,1.669020172360893,4.7,1.7718351005007222,0.0,0.0,,,6.7,1.9560795557458144,1.9,1.236215133788839,9.3,2.1145979525948126,6.0,1.9002415406058841,2.7,1.4543211368701219,0.9,0.7702771223902047,6.0,1.9002415406058841,9.3,2.1145979525948126,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.4543211368701219,0.0,6.0,1.9002415406058841,0.0,0.0,55.0,46.806307423807226,0.6709,0.6446000000000001,0.67155,0.6655,0.20789999999999997,0.6867167919799455,210.0,3918.0
75%,3.7,1.6392580608878475,4.634067720869025,3.7,1.6392580608878475,0.7137210884353742,4.8,1.7831766905349025,0.0009273388607889,4.8,1.7831766905349025,0.13939614950779322,6.0,1.9002415406058841,0.0,3.9,1.669020172360893,4.7,1.7718351005007222,0.0,0.0,,,6.7,1.9560795557458144,1.9,1.236215133788839,9.3,2.1145979525948126,6.0,1.9002415406058841,2.7,1.4543211368701219,0.9,0.7702771223902047,6.0,1.9002415406058841,9.3,2.1145979525948126,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.4543211368701219,0.0,6.0,1.9002415406058841,0.0,0.0,70.0,52.9955652966233,0.771425,0.75605,0.79035,0.8455,0.347,0.7719994677839926,230.0,5377.0
max,3.7,1.6392580608878475,1456.668,3.7,1.6392580608878475,76.53333333333333,4.8,1.7831766905349025,2142.947179946285,4.8,1.7831766905349025,953.8084745762712,6.0,1.9002415406058841,374.19557,3.9,1.669020172360893,4.7,1.7718351005007222,0.0,0.0,,,6.7,1.9560795557458144,1.9,1.236215133788839,9.3,2.1145979525948126,6.0,1.9002415406058841,2.7,1.4543211368701219,0.9,0.7702771223902047,6.0,1.9002415406058841,9.3,2.1145979525948126,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.4543211368701219,0.0,6.0,1.9002415406058841,0.0,0.0,2455.0,12950.215415019762,0.9996,0.9999,0.9998,0.9999,0.9996,0.9849564528899427,54052.5,8135.0
