,Total uncertainty 1,standard deviation 1,mean 1,Total uncertainty 2,standard deviation 2,mean 2,Total uncertainty 3,standard deviation 3,mean 3,Total uncertainty 4,standard deviation 4,mean 4,Total uncertainty 5,standard deviation 5,mean 5,Total uncertainty 6,standard deviation 6,Total uncertainty 7,standard deviation 7,Total uncertainty 8,standard deviation 8,Total uncertainty 9,standard deviation 9,Total uncertainty 10,standard deviation 10,Total uncertainty 11,standard deviation 11,Total uncertainty 12,standard deviation 12,Total uncertainty 13,standard deviation 13,Total uncertainty 14,standard deviation 14,Total uncertainty 15,standard deviation 15,Total uncertainty 16,standard deviation 16,Total uncertainty 17,standard deviation 17,Total uncertainty 18,standard deviation 18,Total uncertainty 19,standard deviation 19,Total uncertainty 20,standard deviation 20,Total uncertainty 21,standard deviation 21,mean 21,Total uncertainty 22,standard deviation 22,Total uncertainty 23,standard deviation 23,Most probable total value (tCO2e/collaborator),Value of sum of declaration and averages,Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure,Interval lenght,id
count,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,0.0,0.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,779.0,751.0,641.0,339.0,750.0,710.0,783.0,783.0
mean,16.8,2.3761932991201644,23.354734308438296,9.299999999999997,2.114597952594813,1.2540273820465089,8.799999999999997,2.088620118960876,21.387383118318805,31.5,2.626972096291605,2.017552053543018,6.0,1.900241540605884,0.6798653932007729,7.599999999999999,2.018281781938705,8.200000000000003,2.055001436297168,0.0,0.0,,,9.299999999999997,2.114597952594813,8.9,2.0939551560095153,12.900000000000006,2.2628402271101007,11.400000000000006,2.207915744104127,9.299999999999997,2.114597952594813,0.9000000000000004,0.7702771223902047,11.400000000000006,2.207915744104127,12.900000000000006,2.2628402271101007,0.0,0.0,0.0,0.0,0.0,0.0,9.299999999999997,2.114597952594813,0.0,11.400000000000006,2.207915744104127,0.0,0.0,84.52745849297574,116.47602889498143,0.637284082156611,0.6304604527296938,0.6442391575663027,0.6431678466076697,0.1953057333333333,0.550975203016338,710.6768837803321,3716.44061302682
std,0.0,4.44373063640535e-16,118.04803318683288,3.55498450912428e-15,4.44373063640535e-16,4.858723085482171,3.55498450912428e-15,4.44373063640535e-16,167.74612385888213,0.0,4.44373063640535e-16,34.89297933187483,0.0,2.221865318202675e-16,14.354296412841931,8.8874612728107e-16,4.44373063640535e-16,3.55498450912428e-15,0.0,0.0,0.0,,,3.55498450912428e-15,4.44373063640535e-16,0.0,0.0,5.332476763686421e-15,4.44373063640535e-16,5.332476763686421e-15,4.44373063640535e-16,3.55498450912428e-15,4.44373063640535e-16,3.332797977304013e-16,0.0,5.332476763686421e-15,4.44373063640535e-16,5.332476763686421e-15,4.44373063640535e-16,0.0,0.0,0.0,0.0,0.0,0.0,3.55498450912428e-15,4.44373063640535e-16,0.0,5.332476763686421e-15,4.44373063640535e-16,0.0,0.0,136.53023591584324,593.0770110520126,0.13047045180859831,0.13376575523626402,0.1629892425857124,0.20399273133245077,0.17089486749102575,0.13628147307332014,3012.4187538792257,2228.6201874440158
min,16.8,2.376193299120165,0.0,9.3,2.1145979525948126,0.0,8.8,2.0886201189608764,0.0,31.5,2.6269720962916048,0.0,6.0,1.9002415406058841,0.0,7.6,2.0182817819387053,8.2,2.055001436297168,0.0,0.0,,,9.3,2.1145979525948126,8.9,2.0939551560095153,12.9,2.262840227110101,11.4,2.2079157441041266,9.3,2.1145979525948126,0.9,0.7702771223902047,11.4,2.2079157441041266,12.9,2.262840227110101,0.0,0.0,0.0,0.0,0.0,0.0,9.3,2.1145979525948126,0.0,11.4,2.2079157441041266,0.0,0.0,0.0,0.0004666573335198996,0.0020000000000000018,0.0046000000000000485,0.02529999999999999,0.007299999999999973,0.0010999999999998789,0.25543478260868424,0.0,77.0
25%,16.8,2.376193299120165,0.4343850072780203,9.3,2.1145979525948126,0.03073776380781315,8.8,2.0886201189608764,0.0,31.5,2.6269720962916048,0.0,6.0,1.9002415406058841,0.0,7.6,2.0182817819387053,8.2,2.055001436297168,0.0,0.0,,,9.3,2.1145979525948126,8.9,2.0939551560095153,12.9,2.262840227110101,11.4,2.2079157441041266,9.3,2.1145979525948126,0.9,0.7702771223902047,11.4,2.2079157441041266,12.9,2.262840227110101,0.0,0.0,0.0,0.0,0.0,0.0,9.3,2.1145979525948126,0.0,11.4,2.2079157441041266,0.0,0.0,45.0,41.00441621883318,0.5611999999999999,0.54645,0.5486,0.5453,0.0649249999999997,0.4555330290361684,275.0,1731.5
50%,16.8,2.376193299120165,1.4718387553041017,9.3,2.1145979525948126,0.1664282064384261,8.8,2.0886201189608764,0.0,31.5,2.6269720962916048,0.0204339963833634,6.0,1.9002415406058841,0.0,7.6,2.0182817819387053,8.2,2.055001436297168,0.0,0.0,,,9.3,2.1145979525948126,8.9,2.0939551560095153,12.9,2.262840227110101,11.4,2.2079157441041266,9.3,2.1145979525948126,0.9,0.7702771223902047,11.4,2.2079157441041266,12.9,2.262840227110101,0.0,0.0,0.0,0.0,0.0,0.0,9.3,2.1145979525948126,0.0,11.4,2.2079157441041266,0.0,0.0,65.0,46.806307423807226,0.6321,0.6145,0.631,0.6284000000000001,0.15010000000000007,0.5254377517202434,320.0,3918.0
75%,16.8,2.376193299120165,4.634067720869025,9.3,2.1145979525948126,0.7137210884353742,8.8,2.0886201189608764,0.0009273388607889,31.5,2.6269720962916048,0.13939614950779322,6.0,1.9002415406058841,0.0,7.6,2.0182817819387053,8.2,2.055001436297168,0.0,0.0,,,9.3,2.1145979525948126,8.9,2.0939551560095153,12.9,2.262840227110101,11.4,2.2079157441041266,9.3,2.1145979525948126,0.9,0.7702771223902047,11.4,2.2079157441041266,12.9,2.262840227110101,0.0,0.0,0.0,0.0,0.0,0.0,9.3,2.1145979525948126,0.0,11.4,2.2079157441041266,0.0,0.0,85.0,52.9955652966233,0.71395,0.70335,0.7338,0.7866,0.27364999999999995,0.6408877199004616,378.125,5377.0
max,16.8,2.376193299120165,1456.668,9.3,2.1145979525948126,76.53333333333333,8.8,2.0886201189608764,2142.947179946285,31.5,2.6269720962916048,953.8084745762712,6.0,1.9002415406058841,374.19557,7.6,2.0182817819387053,8.2,2.055001436297168,0.0,0.0,,,9.3,2.1145979525948126,8.9,2.0939551560095153,12.9,2.262840227110101,11.4,2.2079157441041266,9.3,2.1145979525948126,0.9,0.7702771223902047,11.4,2.2079157441041266,12.9,2.262840227110101,0.0,0.0,0.0,0.0,0.0,0.0,9.3,2.1145979525948126,0.0,11.4,2.2079157441041266,0.0,0.0,1800.0,12950.215415019762,0.9999,0.9991,0.9998,0.9997,0.9929,0.9999999999999946,58212.5,8135.0
