,Total uncertainty 1,standard deviation 1,mean 1,Total uncertainty 2,standard deviation 2,mean 2,Total uncertainty 3,standard deviation 3,mean 3,Total uncertainty 4,standard deviation 4,mean 4,Total uncertainty 5,standard deviation 5,mean 5,Total uncertainty 6,standard deviation 6,Total uncertainty 7,standard deviation 7,Total uncertainty 8,standard deviation 8,Total uncertainty 9a,standard deviation 9a,Total uncertainty 10,standard deviation 10,Total uncertainty 11,standard deviation 11,Total uncertainty 12,standard deviation 12,Total uncertainty 13,standard deviation 13,Total uncertainty 14,standard deviation 14,Total uncertainty 15,standard deviation 15,Total uncertainty 16,standard deviation 16,Total uncertainty 17,standard deviation 17,Total uncertainty 18,standard deviation 18,Total uncertainty 19,standard deviation 19,Total uncertainty 20,standard deviation 20,Total uncertainty 21,standard deviation 21,mean 21,Total uncertainty 22,standard deviation 22,Total uncertainty 23,standard deviation 23,Most probable total value (tCO2e/collaborator),Value of sum of declaration and averages,Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure,Interval lenght,id
count,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,780.0,773.0,749.0,783.0,783.0,783.0,783.0
mean,1.4000000000000004,1.0417241805468327,23.354734308438296,1.4000000000000004,1.0417241805468327,1.2540273820465089,2.1999999999999993,1.3284317057493529,21.387383118318805,2.1999999999999993,1.3284317057493529,2.017552053543018,3.0,1.5174271293851465,0.6798653932007729,1.5999999999999996,1.1268365209132776,2.1999999999999993,1.3284317057493529,0.0,0.0,2.600000000000001,1.4314266778969604,2.600000000000001,1.4314266778969604,0.9000000000000004,0.7702771223902047,4.0,1.6832151805566085,3.0,1.5174271293851465,1.4000000000000004,1.0417241805468327,0.9000000000000004,0.7702771223902047,3.0,1.5174271293851465,4.0,1.6832151805566085,0.0,0.0,0.0,0.0,0.0,0.0,1.4000000000000004,1.0417241805468327,0.0,3.0,1.5174271293851465,0.0,0.0,116.63473818646233,152.2871473104036,0.6034226053639847,0.6845274358974358,0.598933893919793,0.5725489986648865,0.07369897828863346,1.0,322.1567688378033,3716.44061302682
std,4.44373063640535e-16,4.44373063640535e-16,118.04803318683288,4.44373063640535e-16,4.44373063640535e-16,4.858723085482171,8.8874612728107e-16,2.221865318202675e-16,167.74612385888213,8.8874612728107e-16,2.221865318202675e-16,34.89297933187483,0.0,0.0,14.354296412841931,4.44373063640535e-16,0.0,8.8874612728107e-16,2.221865318202675e-16,0.0,0.0,8.8874612728107e-16,2.221865318202675e-16,8.8874612728107e-16,2.221865318202675e-16,3.332797977304013e-16,0.0,0.0,0.0,0.0,0.0,4.44373063640535e-16,4.44373063640535e-16,3.332797977304013e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44373063640535e-16,4.44373063640535e-16,0.0,0.0,0.0,0.0,0.0,233.93267862090923,626.148102345648,0.10180288869002227,0.0842845161170681,0.07764953626286815,0.07449014660235881,0.09538123518035516,0.0,1620.7616118523183,2228.6201874440158
min,1.4,1.0417241805468322,0.0,1.4,1.0417241805468322,0.0,2.2,1.328431705749353,0.0,2.2,1.328431705749353,0.0,3.0,1.5174271293851465,0.0,1.6,1.1268365209132776,2.2,1.328431705749353,0.0,0.0,2.6,1.4314266778969602,2.6,1.4314266778969602,0.9,0.7702771223902047,4.0,1.6832151805566085,3.0,1.5174271293851465,1.4,1.0417241805468322,0.9,0.7702771223902047,3.0,1.5174271293851465,4.0,1.6832151805566085,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0417241805468322,0.0,3.0,1.5174271293851465,0.0,0.0,0.0,0.0004666573335198996,0.49829999999999997,0.5016,0.49870000000000003,0.494,0.017800000000000038,1.0,0.0,77.0
25%,1.4,1.0417241805468322,0.4343850072780203,1.4,1.0417241805468322,0.03073776380781315,2.2,1.328431705749353,0.0,2.2,1.328431705749353,0.0,3.0,1.5174271293851465,0.0,1.6,1.1268365209132776,2.2,1.328431705749353,0.0,0.0,2.6,1.4314266778969602,2.6,1.4314266778969602,0.9,0.7702771223902047,4.0,1.6832151805566085,3.0,1.5174271293851465,1.4,1.0417241805468322,0.9,0.7702771223902047,3.0,1.5174271293851465,4.0,1.6832151805566085,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0417241805468322,0.0,3.0,1.5174271293851465,0.0,0.0,65.0,71.78431713875528,0.55285,0.641475,0.5469999999999999,0.5124,0.04419999999999985,1.0,170.0,1731.5
50%,1.4,1.0417241805468322,1.4718387553041017,1.4,1.0417241805468322,0.1664282064384261,2.2,1.328431705749353,0.0,2.2,1.328431705749353,0.0204339963833634,3.0,1.5174271293851465,0.0,1.6,1.1268365209132776,2.2,1.328431705749353,0.0,0.0,2.6,1.4314266778969602,2.6,1.4314266778969602,0.9,0.7702771223902047,4.0,1.6832151805566085,3.0,1.5174271293851465,1.4,1.0417241805468322,0.9,0.7702771223902047,3.0,1.5174271293851465,4.0,1.6832151805566085,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0417241805468322,0.0,3.0,1.5174271293851465,0.0,0.0,80.0,77.74722107754921,0.5575,0.7091000000000001,0.5911,0.5639000000000001,0.047499999999999876,1.0,175.0,3918.0
75%,1.4,1.0417241805468322,4.634067720869025,1.4,1.0417241805468322,0.7137210884353742,2.2,1.328431705749353,0.0009273388607889,2.2,1.328431705749353,0.13939614950779322,3.0,1.5174271293851465,0.0,1.6,1.1268365209132776,2.2,1.328431705749353,0.0,0.0,2.6,1.4314266778969602,2.6,1.4314266778969602,0.9,0.7702771223902047,4.0,1.6832151805566085,3.0,1.5174271293851465,1.4,1.0417241805468322,0.9,0.7702771223902047,3.0,1.5174271293851465,4.0,1.6832151805566085,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0417241805468322,0.0,3.0,1.5174271293851465,0.0,0.0,100.0,84.48713691588375,0.58465,0.7262249999999999,0.6095999999999999,0.5991,0.054000000000000214,1.0,180.0,5377.0
max,1.4,1.0417241805468322,1456.668,1.4,1.0417241805468322,76.53333333333333,2.2,1.328431705749353,2142.947179946285,2.2,1.328431705749353,953.8084745762712,3.0,1.5174271293851465,374.19557,1.6,1.1268365209132776,2.2,1.328431705749353,0.0,0.0,2.6,1.4314266778969602,2.6,1.4314266778969602,0.9,0.7702771223902047,4.0,1.6832151805566085,3.0,1.5174271293851465,1.4,1.0417241805468322,0.9,0.7702771223902047,3.0,1.5174271293851465,4.0,1.6832151805566085,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0417241805468322,0.0,3.0,1.5174271293851465,0.0,0.0,2505.0,13003.938735177866,0.999,0.9825,0.9995,0.9997,0.9646,1.0,36745.0,8135.0
