,Total uncertainty 1,standard deviation 1,mean 1,Total uncertainty 2,standard deviation 2,mean 2,Total uncertainty 3,standard deviation 3,mean 3,Total uncertainty 4,standard deviation 4,mean 4,Total uncertainty 5,standard deviation 5,mean 5,Total uncertainty 6,standard deviation 6,Total uncertainty 7,standard deviation 7,Total uncertainty 8,standard deviation 8,Total uncertainty 9a,standard deviation 9a,Total uncertainty 10,standard deviation 10,Total uncertainty 11,standard deviation 11,Total uncertainty 12,standard deviation 12,Total uncertainty 13,standard deviation 13,Total uncertainty 14,standard deviation 14,Total uncertainty 15,standard deviation 15,Total uncertainty 16,standard deviation 16,Total uncertainty 17,standard deviation 17,Total uncertainty 18,standard deviation 18,Total uncertainty 19,standard deviation 19,Total uncertainty 20,standard deviation 20,Total uncertainty 21,standard deviation 21,mean 21,Total uncertainty 22,standard deviation 22,Total uncertainty 23,standard deviation 23,Most probable total value (tCO2e/collaborator),Value of sum of declaration and averages,Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure,Interval lenght,id
count,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,780.0,753.0,644.0,336.0,773.0,698.0,783.0,783.0
mean,419.0,3.4750176310133933,23.354734308438296,180.0,3.222723159922624,1.2540273820465089,504.0,3.527769333856009,21.387383118318805,4517.5,4.1026123499465115,2.017552053543018,105.40000000000002,3.0521492892665196,0.6798653932007729,180.0,3.222723159922624,195.9000000000001,3.2488820703381025,0.0,0.0,509.5,3.5308445954959486,509.5,3.5308445954959486,509.5,3.5308445954959486,1349.2999999999995,3.7966673525790524,274.8,3.3514325836877386,222.19999999999996,3.287426958619242,12.799999999999997,2.2594192409711433,274.8,3.3514325836877386,1349.2999999999995,3.7966673525790524,0.0,0.0,0.0,0.0,0.0,0.0,222.19999999999996,3.287426958619242,0.0,274.8,3.3514325836877386,0.0,0.0,166.81353767560665,152.2871473104036,0.598905,0.5849496679946878,0.6004493788819876,0.5868044642857143,0.13611901681759378,0.38853649972851906,7685.921136653896,3716.44061302682
std,0.0,0.0,118.04803318683288,0.0,0.0,4.858723085482171,0.0,8.8874612728107e-16,167.74612385888213,0.0,1.77749225456214e-15,34.89297933187483,1.421993803649712e-14,0.0,14.354296412841931,0.0,0.0,8.531962821898274e-14,4.44373063640535e-16,0.0,0.0,0.0,8.8874612728107e-16,0.0,8.8874612728107e-16,0.0,8.8874612728107e-16,4.550380171679078e-13,8.8874612728107e-16,0.0,8.8874612728107e-16,2.843987607299424e-14,4.44373063640535e-16,3.55498450912428e-15,0.0,0.0,8.8874612728107e-16,4.550380171679078e-13,8.8874612728107e-16,0.0,0.0,0.0,0.0,0.0,0.0,2.843987607299424e-14,4.44373063640535e-16,0.0,0.0,8.8874612728107e-16,0.0,0.0,188.23780592963482,626.148102345648,0.09724499221838251,0.10788680338039323,0.1314346144247244,0.16899704001031932,0.14371476369425418,0.15877994618825308,15441.929946193966,2228.6201874440158
min,419.0,3.4750176310133933,0.0,180.0,3.222723159922624,0.0,504.0,3.52776933385601,0.0,4517.5,4.10261234994651,0.0,105.4,3.0521492892665196,0.0,180.0,3.222723159922624,195.9,3.248882070338103,0.0,0.0,509.5,3.5308445954959478,509.5,3.5308445954959478,509.5,3.5308445954959478,1349.3,3.7966673525790533,274.8,3.3514325836877377,222.2,3.2874269586192417,12.8,2.2594192409711433,274.8,3.3514325836877377,1349.3,3.7966673525790533,0.0,0.0,0.0,0.0,0.0,0.0,222.2,3.2874269586192417,0.0,274.8,3.3514325836877377,0.0,0.0,0.0,0.0004666573335198996,0.033399999999999985,0.04149999999999998,0.08230000000000004,0.05679999999999996,0.001100000000000212,0.13063583815028565,0.0,77.0
25%,419.0,3.4750176310133933,0.4343850072780203,180.0,3.222723159922624,0.03073776380781315,504.0,3.52776933385601,0.0,4517.5,4.10261234994651,0.0,105.4,3.0521492892665196,0.0,180.0,3.222723159922624,195.9,3.248882070338103,0.0,0.0,509.5,3.5308445954959478,509.5,3.5308445954959478,509.5,3.5308445954959478,1349.3,3.7966673525790533,274.8,3.3514325836877377,222.2,3.2874269586192417,12.8,2.2594192409711433,274.8,3.3514325836877377,1349.3,3.7966673525790533,0.0,0.0,0.0,0.0,0.0,0.0,222.2,3.2874269586192417,0.0,274.8,3.3514325836877377,0.0,0.0,80.0,71.78431713875528,0.541225,0.5293,0.5315,0.5247249999999999,0.032199999999999784,0.28001627913612626,4882.5,1731.5
50%,419.0,3.4750176310133933,1.4718387553041017,180.0,3.222723159922624,0.1664282064384261,504.0,3.52776933385601,0.0,4517.5,4.10261234994651,0.0204339963833634,105.4,3.0521492892665196,0.0,180.0,3.222723159922624,195.9,3.248882070338103,0.0,0.0,509.5,3.5308445954959478,509.5,3.5308445954959478,509.5,3.5308445954959478,1349.3,3.7966673525790533,274.8,3.3514325836877377,222.2,3.2874269586192417,12.8,2.2594192409711433,274.8,3.3514325836877377,1349.3,3.7966673525790533,0.0,0.0,0.0,0.0,0.0,0.0,222.2,3.2874269586192417,0.0,274.8,3.3514325836877377,0.0,0.0,130.0,77.74722107754921,0.59185,0.5747,0.5860500000000001,0.5773999999999999,0.09549999999999992,0.3474835974400723,5650.0,3918.0
75%,419.0,3.4750176310133933,4.634067720869025,180.0,3.222723159922624,0.7137210884353742,504.0,3.52776933385601,0.0009273388607889,4517.5,4.10261234994651,0.13939614950779322,105.4,3.0521492892665196,0.0,180.0,3.222723159922624,195.9,3.248882070338103,0.0,0.0,509.5,3.5308445954959478,509.5,3.5308445954959478,509.5,3.5308445954959478,1349.3,3.7966673525790533,274.8,3.3514325836877377,222.2,3.2874269586192417,12.8,2.2594192409711433,274.8,3.3514325836877377,1349.3,3.7966673525790533,0.0,0.0,0.0,0.0,0.0,0.0,222.2,3.2874269586192417,0.0,274.8,3.3514325836877377,0.0,0.0,190.0,84.48713691588375,0.64945,0.6364000000000001,0.65705,0.6888750000000001,0.17819999999999991,0.49220842643524476,6504.375,5377.0
max,419.0,3.4750176310133933,1456.668,180.0,3.222723159922624,76.53333333333333,504.0,3.52776933385601,2142.947179946285,4517.5,4.10261234994651,953.8084745762712,105.4,3.0521492892665196,374.19557,180.0,3.222723159922624,195.9,3.248882070338103,0.0,0.0,509.5,3.5308445954959478,509.5,3.5308445954959478,509.5,3.5308445954959478,1349.3,3.7966673525790533,274.8,3.3514325836877377,222.2,3.2874269586192417,12.8,2.2594192409711433,274.8,3.3514325836877377,1349.3,3.7966673525790533,0.0,0.0,0.0,0.0,0.0,0.0,222.2,3.2874269586192417,0.0,274.8,3.3514325836877377,0.0,0.0,1770.0,13003.938735177866,0.9912,0.975,0.986,0.9941,0.9455,0.968354430379756,233942.5,8135.0
