,Total uncertainty 1,standard deviation 1,mean 1,Total uncertainty 2,standard deviation 2,mean 2,Total uncertainty 3,standard deviation 3,mean 3,Total uncertainty 4,standard deviation 4,mean 4,Total uncertainty 5,standard deviation 5,mean 5,Total uncertainty 6,standard deviation 6,Total uncertainty 7,standard deviation 7,Total uncertainty 8,standard deviation 8,Total uncertainty 9a,standard deviation 9a,Total uncertainty 10,standard deviation 10,Total uncertainty 11,standard deviation 11,Total uncertainty 12,standard deviation 12,Total uncertainty 13,standard deviation 13,Total uncertainty 14,standard deviation 14,Total uncertainty 15,standard deviation 15,Total uncertainty 16,standard deviation 16,Total uncertainty 17,standard deviation 17,Total uncertainty 18,standard deviation 18,Total uncertainty 19,standard deviation 19,Total uncertainty 20,standard deviation 20,Total uncertainty 21,standard deviation 21,mean 21,Total uncertainty 22,standard deviation 22,Total uncertainty 23,standard deviation 23,Most probable total value (tCO2e/collaborator),Value of sum of declaration and averages,Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure,Interval lenght,id
count,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,779.0,749.0,635.0,333.0,735.0,694.0,783.0,783.0
mean,2.6666666666666665,1.446801597943606,23.354734308438296,2.1750000000000007,1.3212965601340334,1.2540273820465089,3.0500000000000007,1.527215303822888,21.387383118318805,6.0,1.900241540605884,2.017552053543018,3.0,1.5174271293851465,0.6798653932007729,2.75,1.4653983088526965,3.1999999999999993,1.5554674038582565,0.0,0.0,3.6666666666666665,1.634108280720517,3.6666666666666665,1.634108280720517,2.133333333333333,1.309197505314289,4.399999999999999,1.7359643405560843,4.399999999999999,1.7359643405560843,2.9333333333333336,1.5040697970182322,0.9000000000000004,0.7702771223902047,4.399999999999999,1.7359643405560843,4.399999999999999,1.7359643405560843,0.0,0.0,0.0,0.0,0.0,0.0,2.9333333333333336,1.5040697970182322,0.0,4.399999999999999,1.7359643405560843,0.0,0.0,118.41634738186463,152.2871473104036,0.6982658536585367,0.670204005340454,0.6838995275590551,0.6559159159159159,0.27062639455782317,0.7803262985774837,409.9584929757344,3716.44061302682
std,0.0,0.0,118.04803318683288,8.8874612728107e-16,4.44373063640535e-16,4.858723085482171,8.8874612728107e-16,2.221865318202675e-16,167.74612385888213,0.0,2.221865318202675e-16,34.89297933187483,0.0,0.0,14.354296412841931,0.0,2.221865318202675e-16,8.8874612728107e-16,2.221865318202675e-16,0.0,0.0,0.0,2.221865318202675e-16,0.0,2.221865318202675e-16,4.44373063640535e-16,2.221865318202675e-16,1.77749225456214e-15,4.44373063640535e-16,1.77749225456214e-15,4.44373063640535e-16,0.0,0.0,3.332797977304013e-16,0.0,1.77749225456214e-15,4.44373063640535e-16,1.77749225456214e-15,4.44373063640535e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77749225456214e-15,4.44373063640535e-16,0.0,0.0,209.38188862051442,626.148102345648,0.15944497157660192,0.17390489413235943,0.19722543671193069,0.2519370046144738,0.20363484491933337,0.09616302150469229,1744.0578459483775,2228.6201874440158
min,2.6666666666666665,1.446801597943606,0.0,2.175,1.321296560134033,0.0,3.05,1.5272153038228877,0.0,6.0,1.9002415406058841,0.0,3.0,1.5174271293851465,0.0,2.75,1.4653983088526967,3.2,1.5554674038582568,0.0,0.0,3.6666666666666665,1.6341082807205167,3.6666666666666665,1.6341082807205167,2.1333333333333333,1.3091975053142888,4.4,1.7359643405560847,4.4,1.7359643405560847,2.9333333333333336,1.5040697970182322,0.9,0.7702771223902047,4.4,1.7359643405560847,4.4,1.7359643405560847,0.0,0.0,0.0,0.0,0.0,0.0,2.9333333333333336,1.5040697970182322,0.0,4.4,1.7359643405560847,0.0,0.0,0.0,0.0004666573335198996,9.999999999998899e-05,0.00029999999999996696,0.0012999999999999678,0.00039999999999995595,0.0012000000000000899,0.14219653179191194,0.0,77.0
25%,2.6666666666666665,1.446801597943606,0.4343850072780203,2.175,1.321296560134033,0.03073776380781315,3.05,1.5272153038228877,0.0,6.0,1.9002415406058841,0.0,3.0,1.5174271293851465,0.0,2.75,1.4653983088526967,3.2,1.5554674038582568,0.0,0.0,3.6666666666666665,1.6341082807205167,3.6666666666666665,1.6341082807205167,2.1333333333333333,1.3091975053142888,4.4,1.7359643405560847,4.4,1.7359643405560847,2.9333333333333336,1.5040697970182322,0.9,0.7702771223902047,4.4,1.7359643405560847,4.4,1.7359643405560847,0.0,0.0,0.0,0.0,0.0,0.0,2.9333333333333336,1.5040697970182322,0.0,4.4,1.7359643405560847,0.0,0.0,70.0,71.78431713875528,0.59275,0.5690999999999999,0.57075,0.5477000000000001,0.10524999999999995,0.7163929086674125,210.0,1731.5
50%,2.6666666666666665,1.446801597943606,1.4718387553041017,2.175,1.321296560134033,0.1664282064384261,3.05,1.5272153038228877,0.0,6.0,1.9002415406058841,0.0204339963833634,3.0,1.5174271293851465,0.0,2.75,1.4653983088526967,3.2,1.5554674038582568,0.0,0.0,3.6666666666666665,1.6341082807205167,3.6666666666666665,1.6341082807205167,2.1333333333333333,1.3091975053142888,4.4,1.7359643405560847,4.4,1.7359643405560847,2.9333333333333336,1.5040697970182322,0.9,0.7702771223902047,4.4,1.7359643405560847,4.4,1.7359643405560847,0.0,0.0,0.0,0.0,0.0,0.0,2.9333333333333336,1.5040697970182322,0.0,4.4,1.7359643405560847,0.0,0.0,85.0,77.74722107754921,0.7034,0.6639999999999999,0.6832,0.6592,0.2389,0.7758829346262832,220.0,3918.0
75%,2.6666666666666665,1.446801597943606,4.634067720869025,2.175,1.321296560134033,0.7137210884353742,3.05,1.5272153038228877,0.0009273388607889,6.0,1.9002415406058841,0.13939614950779322,3.0,1.5174271293851465,0.0,2.75,1.4653983088526967,3.2,1.5554674038582568,0.0,0.0,3.6666666666666665,1.6341082807205167,3.6666666666666665,1.6341082807205167,2.1333333333333333,1.3091975053142888,4.4,1.7359643405560847,4.4,1.7359643405560847,2.9333333333333336,1.5040697970182322,0.9,0.7702771223902047,4.4,1.7359643405560847,4.4,1.7359643405560847,0.0,0.0,0.0,0.0,0.0,0.0,2.9333333333333336,1.5040697970182322,0.0,4.4,1.7359643405560847,0.0,0.0,105.0,84.48713691588375,0.8109999999999999,0.7807,0.8159000000000001,0.863,0.38485,0.8481180430029287,235.0,5377.0
max,2.6666666666666665,1.446801597943606,1456.668,2.175,1.321296560134033,76.53333333333333,3.05,1.5272153038228877,2142.947179946285,6.0,1.9002415406058841,953.8084745762712,3.0,1.5174271293851465,374.19557,2.75,1.4653983088526967,3.2,1.5554674038582568,0.0,0.0,3.6666666666666665,1.6341082807205167,3.6666666666666665,1.6341082807205167,2.1333333333333333,1.3091975053142888,4.4,1.7359643405560847,4.4,1.7359643405560847,2.9333333333333336,1.5040697970182322,0.9,0.7702771223902047,4.4,1.7359643405560847,4.4,1.7359643405560847,0.0,0.0,0.0,0.0,0.0,0.0,2.9333333333333336,1.5040697970182322,0.0,4.4,1.7359643405560847,0.0,0.0,2465.0,13003.938735177866,0.9999,0.9993,0.9999,0.9999,0.9999,0.9937106918238883,36847.5,8135.0
