,Emission source,Description,Activity data 1,Activity data 2,Factor 1,Factor 2,Factor 3,Default base uncertainty Activity data 1,Reliability Activity data 1,Geographical completeness Activity data 1,Time completeness Activity data 1,Temporal correlation Activity data 1,Geographical correlation Activity data 1,Product correlation Activity data 1,Final uncertainty Activity data 1,Default base uncertainty Activity data 2,Reliability Activity data 2,Geographical completeness Activity data 2,Time completeness Activity data 2,Temporal correlation Activity data 2,Geographical correlation Activity data 2,Product correlation Activity data 2,Final uncertainty Activity data 2,Default base uncertainty Factor 1,Reliability Factor 1,Temporal correlation Factor 1,Geographical correlation Factor 1,Product correlation Factor 1,Final uncertainty Factor 1,Default base uncertainty Factor 2,Reliability Factor 2,Temporal correlation Factor 2,Geographical correlation Factor 2,Product correlation Factor 2,Final uncertainty Factor 2,Default base uncertainty Factor 3,Reliability Factor 3,Temporal correlation Factor 3,Geographical correlation Factor 3,Product correlation Factor 3,Final uncertainty Factor 3
36,13,Agglomerated travel expenses,travel price,nan,travel monetary emission factor,nan,nan,0.0,0.56,0.9,0.79,0.05,0.1,0.84,11.230944148514864,,,,,,,,,4.0,0.8,0.18,0.1,0.84,21.471606046460522,,,,,,,,,,,,
37,16,Agglomerated travel expenses,travel price,nan,travel monetary emission factor,nan,nan,0.0,0.56,0.9,0.79,0.05,0.1,0.84,11.230944148514864,,,,,,,,,4.0,0.8,0.18,0.1,0.84,21.471606046460522,,,,,,,,,,,,
38,22,Travel expenses,travel price,nan,travel monetary emission factor,nan,nan,0.0,0.56,0.9,0.79,0.05,0.1,0.84,11.230944148514864,,,,,,,,,4.0,0.8,0.18,0.1,0.84,21.471606046460522,,,,,,,,,,,,
39,15,Invested amount,invested amount,nan,monetary emission factor investment,nan,nan,0.05,0.56,0.9,0.79,0.05,0.1,0.84,11.796836541206034,,,,,,,,,,0.8,0.18,0.1,0.84,,,,,,,,,,,,,
40,12,Freight with distance travelled and mass transported,distance travelled,mass transported,freight emission factor,nan,nan,0.05,0.56,0.9,0.79,0.05,0.1,0.84,11.796836541206034,0.05,0.56,0.9,0.79,0.05,0.1,0.84,11.796836541206034,0.7,0.8,0.18,0.1,0.84,7.239520186751649,,,,,,,,,,,,
41,17,Freight with distance travelled and mass transported,distance travelled,mass transported,freight emission factor,nan,nan,0.05,0.56,0.9,0.79,0.05,0.1,0.84,11.796836541206034,0.05,0.56,0.9,0.79,0.05,0.1,0.84,11.796836541206034,0.7,0.8,0.18,0.1,0.84,7.239520186751649,,,,,,,,,,,,
42,1,Time of use of a machine- power generated- and average consumption,time of use of machine,nan,average time consumption,fuel emission factor,nan,0.05,0.56,0.9,0.79,0.05,0.1,0.84,11.796836541206034,,,,,,,,,1.2,0.8,0.18,0.1,0.84,9.404731899374264,0.05,0.8,0.18,0.1,0.84,4.401762953641988,,,,,,
43,3,Production activity and chemical ratio,production activity data,nan,chemical ratio,global warming potential,nan,0.05,0.56,0.9,0.79,0.05,0.1,0.84,11.796836541206034,,,,,,,,,0.05,0.8,0.18,0.1,0.84,4.401762953641988,0.4,0.8,0.18,0.1,0.84,5.93490871970319,,,,,,
44,4,Total mass of gaz- extrapolated leakage rate- measured gaz,total amount of gaz,nan,leakage rate,global warming potential,nan,0.05,0.56,0.9,0.79,0.05,0.1,0.84,11.796836541206034,,,,,,,,,0.5,0.8,0.18,0.1,0.84,6.370454297716608,0.4,0.8,0.18,0.1,0.84,5.93490871970319,,,,,,
45,9a,Good computed weight,good unit,nan,mass per product unit,product mass emission factor,nan,0.05,0.56,0.9,0.79,0.05,0.1,0.84,11.796836541206034,,,,,,,,,0.05,0.8,0.18,0.1,0.84,4.401762953641988,0.5,0.8,0.18,0.1,0.84,6.370454297716608,,,,,,
46,10,Asset computed weight,asset quantity,nan,mass per asset unit,asset mass emission factor,nan,0.05,0.56,0.9,0.79,0.05,0.1,0.84,11.796836541206034,,,,,,,,,0.05,0.8,0.18,0.1,0.84,4.401762953641988,0.5,0.8,0.18,0.1,0.84,6.370454297716608,,,,,,
47,11,Waste computed weight,waste unit,nan,mass per waste unit,waste disposal mass emission factor,nan,0.05,0.56,0.9,0.79,0.05,0.1,0.84,11.796836541206034,,,,,,,,,0.05,0.8,0.18,0.1,0.84,4.401762953641988,0.5,0.8,0.18,0.1,0.84,6.370454297716608,,,,,,
48,4,Air conditionned surface-  average gaz consumption per square meter- average leakage,air conditionned surface,nan,average gaz consumption per surface,leakage rate,global warming potential,0.05,0.56,0.9,0.79,0.05,0.1,0.84,11.796836541206034,,,,,,,,,0.5,0.8,0.18,0.1,0.84,6.370454297716608,0.5,0.8,0.18,0.1,0.84,6.370454297716608,0.4,0.8,0.18,0.1,0.84,5.93490871970319
