,Most probable total value (tCO2e/collaborator),Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure
count,147.0,147.0,144.0,119.0,63.0,139.0,94.0
mean,9.489795918367347,0.0014006802721088418,0.0015356250000000027,0.002362521008403359,0.008055555555555557,0.0013946762589927917,0.002570499651328341
std,12.003633780262883,0.0011235954153287903,0.0013578344125695313,0.005983036361174076,0.03897565244039055,0.0016965315436178474,0.003441399936069974
min,0.0,9.99999999995449e-06,1.999999999990898e-05,9.99999999995449e-06,9.99999999995449e-06,0.0,2.258866049287267e-05
25%,0.0,0.0005550000000000277,0.00047750000000004733,0.0005649999999999822,0.00042000000000003146,0.00041500000000022075,0.0005853572401438219
50%,5.0,0.0012199999999999989,0.0012150000000000771,0.0014699999999999713,0.0011200000000000099,0.000880000000000436,0.0016518583919343938
75%,10.0,0.0020100000000000118,0.0022699999999999942,0.002449999999999952,0.0023000000000000242,0.0018299999999999428,0.0028675369230722197
max,65.0,0.006670000000000065,0.008070000000000022,0.05628,0.27992000000000006,0.01246000000000036,0.022895994119809554
