,Most probable total value (tCO2e/collaborator),Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure
count,147.0,147.0,144.0,119.0,63.0,139.0,95.0
mean,8.16326530612245,0.0016360544217687138,0.0014447222222222222,0.0027121008403361395,0.00814650793650794,0.0014835251798561088,0.0033800375901184396
std,11.073874485204447,0.0011993117648663098,0.0011593559487949393,0.006757708827695564,0.03867636642533617,0.002811799893747307,0.006576056246626727
min,0.0,1.0000000000065512e-05,9.99999999995449e-06,0.0,4.999999999988347e-05,0.0,1.695202576737498e-05
25%,0.0,0.0006200000000000094,0.0005599999999999494,0.0005950000000000122,0.0006599999999999939,0.00035999999999991594,0.0005667268047345152
50%,5.0,0.0014199999999999768,0.0011249999999999316,0.0012300000000000644,0.0014800000000000368,0.0009100000000000774,0.0016558322090026167
75%,10.0,0.0024850000000000705,0.002177499999999999,0.0022949999999999915,0.0023849999999999705,0.001744999999999941,0.003702754574533604
max,55.0,0.005039999999999933,0.005059999999999953,0.055279999999999996,0.27849,0.03037000000000012,0.055806688717383535
