id,Assumption,Most probable total value (tCO2e/collaborator),Value of sum of declaration and averages,Most important declared scopes,Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure,Interval,Interval lenght
77,0,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.66248,0.6760200000000001,0.6259,,0.19502999999999993,0.8055762081784387,"(5.0, 25.0)",20.0
77,1,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.7095,0.73289,0.65614,,0.2656400000000001,,"(5.0, 15.0)",10.0
77,2,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.60014,0.6092299999999999,0.57535,,0.12101000000000006,0.4998347790169356,"(5.0, 130.0)",125.0
88,0,55.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.56145,0.7242,0.80931,,0.25284000000000006,,"(70.0, 315.0)",245.0
88,1,45.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.58308,0.78465,0.8629,,0.33479000000000003,,"(55.0, 175.0)",120.0
88,2,70.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.53674,0.63985,0.7037599999999999,,0.15426000000000006,,"(225.0, 2610.0)",2385.0
96,0,65.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.70957,0.55367,0.50492,,0.09858000000000011,0.3607025246981342,"(85.0, 355.0)",270.0
96,1,55.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.7607200000000001,0.5667,0.50573,,0.11456,0.4191730698865714,"(65.0, 200.0)",135.0
96,2,120.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.63271,0.53028,0.50295,,0.07052999999999998,0.2580680570801316,"(265.0, 3035.0)",2770.0
108,0,195.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.8821,0.53973,,,0.43677999999999995,,"(290.0, 1585.0)",1295.0
108,1,180.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.94178,0.5492,,,0.4962599999999999,,"(245.0, 930.0)",685.0
108,2,220.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.7592099999999999,0.52742,,,0.33402,,"(760.0, 10426.25)",9666.25
110,0,45.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.59702,0.5135799999999999,0.5762700000000001,0.62754,0.03037000000000012,0.38687898089172124,"(65.0, 295.0)",230.0
110,1,45.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.62115,0.51745,0.59939,0.6622600000000001,0.04207000000000005,0.5359235668789816,"(50.0, 170.0)",120.0
110,2,65.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.5585,0.50909,0.54653,0.5795399999999999,0.018829999999999902,0.2398726114649669,"(195.0, 2365.0)",2170.0
111,0,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.6629700000000001,0.65362,0.51946,0.85835,0.09625000000000017,,"(0.0, 10.0)",10.0
111,1,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.72072,0.6975199999999999,0.52661,0.90876,0.1463699999999999,,"(0.0, 5.0)",5.0
111,2,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.6017600000000001,0.59442,0.51273,0.74207,0.046479999999999744,0.7296703296703314,"(5.0, 50.0)",45.0
119,0,65.0,45.71913203599437,"[1, 2, 7, 6, 3]",0.70224,0.51986,0.5025999999999999,0.63752,0.031240000000000046,0.048306788309881,"(85.0, 340.0)",255.0
119,1,60.0,45.71913203599437,"[1, 2, 7, 6, 3]",0.76647,0.5253399999999999,0.50219,0.67674,0.042789999999999884,0.06616669243853392,"(60.0, 185.0)",125.0
119,2,100.0,45.71913203599437,"[1, 2, 6, 7, 3]",0.6248400000000001,0.51176,0.50034,0.5834900000000001,0.021070000000000255,0.03258079480439192,"(275.0, 2955.0)",2680.0
138,0,105.0,80.6780548211705,"[1, 10, 6, 2, 4]",0.79647,0.47463999999999995,0.86555,0.93955,0.21885,0.3915026833631484,"(135.0, 570.0)",435.0
138,1,100.0,80.6780548211705,"[1, 10, 6, 2, 4]",0.86065,0.46880999999999995,0.92724,0.97665,0.29510000000000003,0.5279069767441861,"(105.0, 305.0)",200.0
138,2,95.0,80.6780548211705,"[1, 10, 6, 2, 4]",0.69152,0.48632,0.74691,0.82512,0.10825999999999991,0.1936672629695884,"(400.0, 4750.0)",4350.0
141,0,75.0,50.58227123393115,"[1, 6, 5, 2, 4]",0.79335,0.69792,0.67582,,0.2886899999999999,0.4426402943882244,"(90.0, 380.0)",290.0
141,1,60.0,50.58227123393115,"[1, 6, 5, 2, 4]",0.85954,0.74387,0.72532,,0.3924900000000001,0.6017939282428706,"(70.0, 210.0)",140.0
141,2,95.0,50.58227123393115,"[1, 6, 5, 2, 4]",0.68908,0.6248400000000001,0.6102099999999999,,0.16546000000000005,0.2536951855259124,"(290.0, 3225.0)",2935.0
149,0,120.0,75.42889631269611,"[1, 6, 2, 4, 5]",0.72602,0.70263,0.50596,,0.18125000000000002,,"(150.0, 570.0)",425.0
149,1,110.0,75.42889631269611,"[1, 6, 2, 4, 5]",0.78893,0.76109,0.5075799999999999,,0.24002,,"(110.0, 300.0)",190.0
149,2,215.0,75.42889631269611,"[1, 6, 2, 4, 5]",0.64107,0.62871,0.5050600000000001,,0.11900999999999973,,"(500.0, 5130.0)",4715.0
154,0,75.0,54.65432891039514,"[1, 7, 6, 2, 4]",0.73255,0.5850500000000001,0.54608,0.92186,0.11378999999999995,0.281310259579728,"(100.0, 410.0)",310.0
154,1,65.0,54.65432891039514,"[1, 7, 6, 2, 4]",0.79027,0.60819,0.56062,0.96493,0.15483999999999987,0.3827935723114954,"(75.0, 220.0)",145.0
154,2,165.0,54.65432891039514,"[1, 7, 6, 2, 4]",0.6469199999999999,0.55262,0.52834,0.80229,0.058840000000000114,0.1454635352286777,"(325.0, 3500.0)",3175.0
158,0,50.0,40.53861593209827,"[1, 6, 2, 7, 5]",0.71034,0.84294,,,0.56489,,"(65.0, 295.0)",235.0
158,1,45.0,40.53861593209827,"[1, 6, 2, 7, 5]",0.7704,0.90828,,,0.6806,,"(50.0, 170.0)",120.0
158,2,45.0,40.53861593209827,"[1, 6, 2, 7, 5]",0.6337999999999999,0.7261,,,0.4005399999999999,,"(185.0, 2340.0)",2155.0
175,0,55.0,41.567345923037564,"[1, 6, 4, 3, 2]",0.66177,0.53834,0.69546,0.60432,0.05793999999999988,0.15263435194942013,"(70.0, 310.0)",240.0
175,1,45.0,41.567345923037564,"[1, 6, 4, 3, 2]",0.7056899999999999,0.5480700000000001,0.7401599999999999,0.641,0.08561999999999992,0.22555321390937808,"(50.0, 175.0)",125.0
175,2,55.0,41.567345923037564,"[1, 6, 4, 3, 2]",0.59695,0.5257000000000001,0.6198,0.56389,0.02837999999999985,0.07476290832455176,"(220.0, 2620.0)",2400.0
176,0,105.0,60.19231379450125,"[3, 4, 1, 2, 5]",0.51416,0.7279,0.60682,,0.13645999999999991,0.27696366957580665,"(130.0, 490.0)",360.0
176,1,90.0,60.19231379450125,"[3, 4, 1, 2, 5]",0.51648,0.7795300000000001,0.64432,,0.17554999999999987,0.35630200933630995,"(95.0, 265.0)",170.0
176,2,210.0,60.19231379450125,"[3, 4, 1, 2, 5]",0.50856,0.644,0.5669,,0.08816999999999997,0.17895270955956968,"(470.0, 4790.0)",4320.0
179,0,45.0,38.54362917499513,"[10, 2, 6, 1, 4]",0.6817500000000001,0.50854,0.52338,0.81089,0.05483999999999989,0.09296490930666196,"(60.0, 270.0)",210.0
