,Most probable total value (tCO2e/collaborator),Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure
count,147.0,147.0,144.0,120.0,63.0,140.0,100.0
mean,9.081632653061224,0.026614829931972787,0.029471597222222225,0.013251083333333332,0.009204285714285713,0.043409428571428585,0.056215876067683
std,12.646679245806931,0.034150776347575344,0.03181209590207457,0.026406978349277598,0.023889249148618983,0.05007941245850538,0.06942535550549868
min,0.0,4.999999999999449e-05,9.99999999995449e-06,0.0,0.0,0.0,0.0
25%,0.0,0.001654999999999962,0.00363749999999996,0.0008749999999999869,0.00045999999999996044,0.005522499999999819,0.0017699624110448613
50%,5.0,0.0044800000000000395,0.016784999999999994,0.0017500000000000293,0.0010999999999999899,0.021830000000000127,0.02752257309720757
75%,10.0,0.04768499999999998,0.04851999999999998,0.006315000000000043,0.0030850000000000044,0.06745000000000004,0.08830615725413256
max,95.0,0.11729,0.12128000000000005,0.11912,0.13622999999999996,0.21964000000000006,0.31423085611023327
