,Most probable total value (tCO2e/collaborator),Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure
count,147.0,147.0,144.0,120.0,63.0,138.0,95.0
mean,8.231292517006803,0.0016318367346938706,0.001505277777777779,0.001625916666666675,0.0058009523809523685,0.0011134782608695534,0.002045053903305572
std,11.524285273182166,0.001173207767751545,0.0012824937161990796,0.0030779589154883435,0.03447918655551424,0.0009717774009731866,0.0020406373874893658
min,0.0,0.0,1.999999999990898e-05,0.0,0.0,9.999999999621423e-06,3.0926240915961356e-05
25%,0.0,0.0006749999999999812,0.00040999999999996595,0.0005624999999999658,0.0007550000000000057,0.00042999999999998595,0.0005820670374478698
50%,5.0,0.0014400000000001079,0.0011849999999999916,0.0011050000000000226,0.0014599999999999058,0.0008500000000001284,0.0017857142857142794
75%,10.0,0.0023700000000000943,0.0020449999999999358,0.001977500000000021,0.0020550000000000845,0.001587499999999964,0.002844062696195304
max,65.0,0.005730000000000013,0.005929999999999991,0.03300000000000003,0.27501,0.004590000000000094,0.012087912087911157
