,Most probable total value (tCO2e/collaborator),Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure
count,49.0,49.0,48.0,40.0,21.0,46.0,32.0
mean,4.795918367346939,0.0015012244897959243,0.0015952083333333432,0.0030772500000000036,0.01256142857142856,0.0013547826086956845,0.003376413197849203
std,4.444001536888117,0.0011778823382329235,0.0012899034923216262,0.007843606570861496,0.048316632155574996,0.0024837523039237435,0.0059054653375280215
min,0.0,0.0,9.99999999995449e-06,2.0000000000020002e-05,7.999999999996898e-05,0.0,0.00012242899118482253
25%,0.0,0.0006000000000000449,0.0005575000000000441,0.0005399999999999849,0.0012399999999999078,0.00045250000000002233,0.0005869148334256643
50%,5.0,0.0013199999999999878,0.0014149999999999996,0.0011750000000000371,0.0020000000000000018,0.0008449999999999847,0.0015812535155870847
75%,5.0,0.0021800000000000708,0.0021625000000000394,0.002292500000000003,0.002989999999999937,0.0014175000000000437,0.002795226950933795
max,15.0,0.005369999999999986,0.0049000000000000155,0.04732000000000003,0.22336,0.016960000000000308,0.031165012862918617
