,Most probable total value (tCO2e/collaborator),Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure
count,147.0,147.0,144.0,120.0,63.0,140.0,95.0
mean,8.639455782312925,0.001550272108843537,0.0016331944444444371,0.0020685833333333376,0.005172380952380954,0.0013757857142856847,0.0029820366568176168
std,12.10057486364039,0.0011659618556099174,0.0012200129844418424,0.004688085613092643,0.02837415832000421,0.0016858996564425221,0.004431782857037378
min,0.0,2.0000000000020002e-05,4.999999999999449e-05,0.0,3.999999999992898e-05,0.0,1.9818334798769877e-15
25%,0.0,0.0005699999999999594,0.000607499999999983,0.00046749999999995406,0.000530000000000086,0.0004800000000001192,0.0007995130849651167
50%,5.0,0.0013400000000001189,0.0013949999999999796,0.0011349999999999971,0.0011700000000000044,0.0010449999999999626,0.0017799752781204603
75%,10.0,0.0023849999999999705,0.0024599999999999067,0.002502499999999963,0.0026599999999999957,0.0017250000000001153,0.0032973521625610097
max,95.0,0.005170000000000119,0.006040000000000045,0.04740999999999995,0.22659000000000007,0.01725999999999983,0.03171628077912497
