,Most probable total value (tCO2e/collaborator),Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure
count,147.0,147.0,144.0,119.0,63.0,140.0,95.0
mean,10.170068027210885,0.006109659863945579,0.003784166666666664,0.007606218487394955,0.009400476190476197,0.003709214285714294,0.00787786874804111
std,13.804096150899767,0.01776065859474619,0.00914196268960784,0.02158013760310179,0.023654596663607943,0.009962083445367038,0.020488501249800388
min,0.0,2.0000000000020002e-05,0.0,9.99999999995449e-06,0.0,0.0,3.570153516862424e-05
25%,0.0,0.0007299999999998974,0.0006124999999999603,0.0005700000000000149,0.0007800000000000029,0.0005675000000000818,0.0008995078140854595
50%,5.0,0.0015899999999999803,0.0014149999999999996,0.0014199999999999768,0.0016399999999999748,0.0012999999999999678,0.0025332650972368365
75%,15.0,0.002705000000000013,0.0025650000000000117,0.0029050000000000464,0.002840000000000009,0.0029250000000000664,0.006611272998263407
max,90.0,0.12180000000000002,0.06511,0.1259,0.12722999999999995,0.09341999999999995,0.16711985688729858
