id,Assumption,Most probable total value (tCO2e/collaborator),Value of sum of declaration and averages,Most important declared scopes,Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure,Interval,Interval lenght
77,0,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.66472,0.67811,0.62281,,0.19477999999999984,0.804543577034283,"(5.0, 25.0)",20.0
77,1,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.71194,0.73087,0.65413,,0.2657599999999999,,"(5.0, 15.0)",10.0
77,2,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.60126,0.60958,0.57421,,0.1225400000000001,0.5061544816191662,"(5.0, 130.0)",125.0
88,0,50.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.5621499999999999,0.7240599999999999,0.81122,,0.25471999999999995,,"(70.0, 315.0)",245.0
88,1,50.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.58415,0.78713,0.86292,,0.3357,,"(55.0, 175.0)",120.0
88,2,90.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.53661,0.6391,0.70191,,0.1534500000000001,,"(225.0, 2570.0)",2355.0
96,0,65.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.71034,0.55425,0.5065999999999999,,0.09860000000000002,0.3607757043541895,"(85.0, 355.0)",270.0
96,1,65.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.7617,0.5650999999999999,0.50755,,0.1159199999999998,0.4241492864983526,"(65.0, 200.0)",135.0
96,2,100.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.63028,0.53183,0.50344,,0.0703499999999998,0.25740944017563033,"(275.0, 2955.0)",2730.0
108,0,205.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.88051,0.53984,,,0.43753,,"(290.0, 1580.0)",1290.0
108,1,185.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.94259,0.55252,,,0.50075,,"(245.0, 930.0)",685.0
108,2,185.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.75734,0.52318,,,0.33005000000000007,,"(755.0, 10400.0)",9715.0
110,0,50.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.59695,0.51529,0.5792200000000001,0.6262099999999999,0.029630000000000156,0.37745222929936506,"(65.0, 295.0)",230.0
110,1,40.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.62156,0.5165500000000001,0.59806,0.66269,0.04220999999999986,0.5377070063694249,"(50.0, 165.0)",115.0
110,2,60.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.55975,0.50661,0.54698,0.5795699999999999,0.018589999999999995,0.23681528662420376,"(195.0, 2375.0)",2180.0
111,0,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.66525,0.65168,0.52093,0.85865,0.09789999999999988,,"(0.0, 10.0)",10.0
111,1,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.72114,0.6981200000000001,0.52735,0.90912,0.14661999999999997,,"(0.0, 5.0)",5.0
111,2,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.60261,0.59492,0.5127200000000001,0.7452099999999999,0.04642000000000002,0.7287284144427062,"(5.0, 50.0)",45.0
119,0,65.0,45.71913203599437,"[1, 2, 7, 6, 3]",0.70234,0.51925,0.5021800000000001,0.63591,0.03084000000000009,0.047688263491572735,"(85.0, 340.0)",255.0
119,1,50.0,45.71913203599437,"[1, 2, 7, 6, 3]",0.76808,0.52423,0.5039199999999999,0.6768799999999999,0.04231000000000007,0.0654244626565642,"(60.0, 185.0)",125.0
119,2,100.0,45.71913203599437,"[1, 2, 7, 6, 3]",0.62642,0.51057,0.5039899999999999,0.5829500000000001,0.021260000000000057,0.03287459409308807,"(275.0, 2965.0)",2690.0
138,0,110.0,80.6780548211705,"[1, 10, 6, 2, 4]",0.79452,0.47352000000000005,0.86587,0.93859,0.2173099999999999,0.3887477638640427,"(135.0, 570.0)",435.0
138,1,100.0,80.6780548211705,"[1, 10, 6, 2, 4]",0.86063,0.46897,0.92813,0.97656,0.29539000000000015,0.5284257602862257,"(105.0, 305.0)",200.0
138,2,125.0,80.6780548211705,"[1, 10, 6, 2, 4]",0.6936599999999999,0.48612,0.74544,0.8249,0.10824999999999996,0.19364937388193193,"(405.0, 4720.0)",4360.0
141,0,80.0,50.58227123393115,"[1, 6, 5, 2, 4]",0.79452,0.69967,0.6734800000000001,,0.28834000000000004,0.442103649187366,"(90.0, 380.0)",290.0
141,1,65.0,50.58227123393115,"[1, 6, 5, 2, 4]",0.86208,0.7449,0.7219599999999999,,0.39207000000000014,0.6011499540018402,"(70.0, 210.0)",140.0
141,2,100.0,50.58227123393115,"[1, 6, 5, 2, 4]",0.68952,0.624,0.60745,,0.16449000000000014,0.2522079116835329,"(290.0, 3255.0)",2965.0
149,0,105.0,75.42889631269611,"[1, 6, 2, 4, 5]",0.72634,0.70365,0.50673,,0.18057999999999996,,"(150.0, 570.0)",420.0
149,1,105.0,75.42889631269611,"[1, 6, 2, 4, 5]",0.78487,0.75869,0.5082599999999999,,0.23877000000000004,,"(110.0, 300.0)",190.0
149,2,210.0,75.42889631269611,"[1, 6, 2, 4, 5]",0.64266,0.62605,0.5038,,0.11760999999999988,,"(505.0, 5120.0)",4615.0
154,0,80.0,54.65432891039514,"[1, 7, 6, 2, 4]",0.7314700000000001,0.5847100000000001,0.5455,0.92133,0.11309000000000013,0.2795797280593329,"(100.0, 410.0)",310.0
154,1,60.0,54.65432891039514,"[1, 7, 6, 2, 4]",0.79113,0.60774,0.56031,0.96503,0.15531000000000006,0.3839555006180472,"(75.0, 220.0)",145.0
154,2,120.0,54.65432891039514,"[1, 7, 6, 2, 4]",0.64716,0.55473,0.5279400000000001,0.80339,0.05771000000000004,0.14266996291718184,"(330.0, 3470.0)",3160.0
158,0,45.0,40.53861593209827,"[1, 6, 2, 7, 5]",0.7130099999999999,0.84144,,,0.56551,,"(65.0, 295.0)",230.0
158,1,40.0,40.53861593209827,"[1, 6, 2, 7, 5]",0.76945,0.90825,,,0.67899,,"(50.0, 165.0)",115.0
158,2,40.0,40.53861593209827,"[1, 6, 2, 7, 5]",0.6334500000000001,0.72803,,,0.40170000000000006,,"(180.0, 2330.0)",2150.0
175,0,50.0,41.567345923037564,"[1, 6, 4, 3, 2]",0.65825,0.54002,0.6958,0.60639,0.05966000000000027,0.15716543730242433,"(70.0, 310.0)",240.0
175,1,50.0,41.567345923037564,"[1, 6, 4, 3, 2]",0.70514,0.54937,0.73895,0.63956,0.08606999999999976,0.22673867228661687,"(50.0, 175.0)",125.0
175,2,65.0,41.567345923037564,"[1, 6, 4, 3, 2]",0.59702,0.52415,0.62066,0.5655399999999999,0.02864,0.07544783983140148,"(225.0, 2620.0)",2395.0
176,0,110.0,60.19231379450125,"[3, 4, 1, 2, 5]",0.51399,0.72713,0.60443,,0.13387000000000016,0.27170692104729083,"(130.0, 495.0)",365.0
176,1,90.0,60.19231379450125,"[3, 4, 1, 2, 5]",0.51893,0.78005,0.64557,,0.17600000000000016,0.35721534402273225,"(95.0, 265.0)",170.0
176,2,210.0,60.19231379450125,"[3, 4, 1, 2, 5]",0.50771,0.6422,0.56454,,0.0881799999999997,0.17897300588593407,"(475.0, 4740.0)",4350.0
179,0,45.0,38.54362917499513,"[10, 2, 6, 1, 4]",0.68252,0.51044,0.5226299999999999,0.80854,0.05548000000000031,0.09404983895575574,"(60.0, 270.0)",210.0
179,1,40.0,38.54362917499513,"[10, 2, 6, 1, 4]",0.73309,0.51495,0.52976,0.87039,0.07591000000000014,0.1286828275978982,"(45.0, 155.0)",110.0
179,2,50.0,38.54362917499513,"[10, 2, 6, 1, 4]",0.61566,0.50625,0.5141,0.70294,0.03208999999999995,0.05439905068655696,"(195.0, 2190.0)",1995.0
180,0,50.0,41.013504492382864,"[1, 6, 4, 7, 5]",0.63715,0.89718,,,0.54454,0.9649831649831649,"(65.0, 300.0)",235.0
180,1,45.0,41.013504492382864,"[1, 6, 4, 7, 5]",0.67891,0.94316,,,0.62646,,"(50.0, 170.0)",120.0
180,2,55.0,41.013504492382864,"[1, 6, 4, 7, 5]",0.58584,0.77772,,,0.40584,0.7191919191919192,"(195.0, 2410.0)",2215.0
187,0,75.0,48.449738338395285,"[6, 1, 2, 4, 5]",0.50027,0.6467499999999999,0.95045,,0.22033999999999998,0.2528284566838784,"(85.0, 360.0)",275.0
187,1,55.0,48.449738338395285,"[6, 1, 2, 4, 5]",0.5033099999999999,0.6969000000000001,0.9826,,0.26754,0.30698795180722893,"(65.0, 200.0)",135.0
187,2,100.0,48.449738338395285,"[6, 1, 2, 4, 5]",0.50364,0.59251,0.8387100000000001,,0.15988000000000002,0.1834538152610442,"(275.0, 3015.0)",2740.0
206,0,10.0,11.226231064421425,"[12, 7, 2, 16, 21]",0.04735999999999996,0.78316,,,0.019140000000000046,0.04662606577344713,"(15.0, 70.0)",55.0
206,1,10.0,11.226231064421425,"[12, 7, 2, 16, 21]",0.01815,0.84883,,,0.006800000000000028,0.01656516443361761,"(10.0, 40.0)",30.0
206,2,10.0,11.226231064421425,"[12, 7, 2, 16, 21]",0.15459,0.6870499999999999,,,0.06118000000000012,0.1490377588306946,"(35.0, 445.0)",410.0
209,0,80.0,54.132177697977504,"[1, 6, 5, 4, 3]",0.68531,,,,0.68531,,"(100.0, 410.0)",310.0
209,1,70.0,54.132177697977504,"[1, 6, 5, 4, 3]",0.73646,,,,0.73646,,"(75.0, 225.0)",150.0
209,2,140.0,54.132177697977504,"[1, 6, 5, 4, 3]",0.61412,,,,0.61412,,"(320.0, 3485.0)",3185.0
211,0,65.0,53.75864652418655,"[7, 6, 10, 2, 1]",0.79799,0.39288999999999996,0.82758,0.62629,0.08506999999999998,,"(90.0, 395.0)",305.0
211,1,70.0,53.75864652418655,"[7, 6, 10, 2, 1]",0.85187,0.36423000000000005,0.89216,0.6704300000000001,0.11906000000000005,,"(70.0, 225.0)",155.0
211,2,90.0,53.75864652418655,"[7, 6, 10, 2, 1]",0.6941200000000001,0.43493000000000004,0.71775,0.5762499999999999,0.04306999999999983,,"(275.0, 3081.25)",2806.25
227,0,30.0,20.014371038576503,"[1, 2, 6, 10, 7]",0.6777599999999999,0.72604,0.10384000000000004,0.6091,,0.0031342651418879313,"(35.0, 140.0)",105.0
227,1,25.0,20.014371038576503,"[1, 2, 6, 7, 10]",0.73693,0.78558,0.02171999999999996,0.64071,,0.0007200338839470241,"(30.0, 80.0)",50.0
227,2,45.0,20.014371038576503,"[1, 2, 6, 10, 7]",0.6108899999999999,0.64036,0.21726,0.56791,0.002769999999999717,0.011732316814907735,"(110.0, 1025.0)",930.0
236,0,85.0,49.76022964602945,"[6, 1, 2, 4, 5]",0.57572,0.5208699999999999,0.9410499999999999,,0.1857700000000001,0.2511763115197405,"(90.0, 370.0)",280.0
236,1,55.0,49.76022964602945,"[6, 1, 2, 4, 5]",0.59971,0.53058,0.97761,,0.22275,0.3011763115197404,"(70.0, 205.0)",135.0
236,2,95.0,49.76022964602945,"[6, 1, 2, 4, 5]",0.54767,0.5147900000000001,0.82678,,0.13240000000000007,0.17901568415359662,"(300.0, 3135.0)",2835.0
240,0,10.0,7.649484536082474,"[12, 2, 22, 1, 10]",0.5240199999999999,0.56753,0.57351,0.50486,0.021569999999999645,0.05191335740072116,"(15.0, 60.0)",45.0
240,1,10.0,7.649484536082474,"[12, 2, 22, 1, 10]",0.53217,0.58404,0.59278,0.50561,0.027619999999999534,0.06647412755715891,"(10.0, 30.0)",20.0
240,2,10.0,7.649484536082474,"[12, 2, 22, 1, 10]",0.51641,0.54081,0.54757,0.5055499999999999,0.016549999999999843,0.03983152827918132,"(40.0, 460.0)",420.0
246,0,35.0,36.53227151895733,"[13, 1, 14, 7, 11]",0.1382,0.63403,0.17879999999999996,0.93548,0.0010999999999998789,0.004366812227073755,"(50.0, 235.0)",185.0
246,1,30.0,36.53227151895733,"[13, 1, 14, 7, 11]",0.08238999999999996,0.6744399999999999,0.12446999999999997,0.97475,,0.0021040095275895528,"(40.0, 140.0)",100.0
246,2,55.0,36.53227151895733,"[13, 1, 14, 7, 11]",0.24877000000000005,0.5835600000000001,0.28864,0.80909,0.00287000000000015,0.01139341008336701,"(145.0, 1715.0)",1570.0
273,0,80.0,52.89116720554914,"[2, 1, 6, 3, 7]",0.74821,0.56795,0.76269,,0.22456999999999994,0.5312751360302815,"(95.0, 385.0)",290.0
273,1,65.0,52.89116720554914,"[2, 1, 6, 3, 7]",0.81888,0.58996,0.82031,,0.31071000000000004,0.7350603264726759,"(70.0, 205.0)",135.0
273,2,100.0,52.89116720554914,"[2, 1, 6, 3, 7]",0.6575599999999999,0.54069,0.66413,,0.1314200000000002,0.31090607996214864,"(300.0, 3225.0)",2945.0
276,0,85.0,54.698955760679134,"[1, 6, 2, 5, 4]",0.75937,0.91186,,,0.67418,,"(100.0, 415.0)",315.0
276,1,70.0,54.698955760679134,"[1, 6, 2, 5, 4]",0.82557,0.96386,,,0.78969,,"(75.0, 225.0)",150.0
276,2,135.0,54.698955760679134,"[1, 6, 2, 5, 4]",0.66252,0.7939700000000001,,,0.4773399999999999,,"(315.0, 3525.0)",3210.0
283,0,75.0,52.13125589901274,"[1, 6, 4, 2, 5]",0.68449,0.93244,0.64592,,0.38132999999999995,0.523804945054945,"(95.0, 395.0)",300.0
283,1,75.0,52.13125589901274,"[1, 6, 4, 2, 5]",0.73792,0.96951,0.6848799999999999,,0.47534999999999994,0.6529532967032966,"(75.0, 215.0)",140.0
283,2,135.0,52.13125589901274,"[1, 6, 4, 2, 5]",0.61443,0.8169500000000001,0.58928,,0.22403000000000006,0.3077335164835166,"(305.0, 3335.0)",3030.0
287,0,80.0,55.9672509226252,"[1, 6, 2, 5, 4]",0.75193,0.89198,,,0.6486,,"(105.0, 420.0)",315.0
287,1,75.0,55.9672509226252,"[1, 6, 2, 5, 4]",0.81627,0.94782,,,0.76272,,"(80.0, 230.0)",150.0
287,2,80.0,55.9672509226252,"[1, 6, 2, 5, 4]",0.6606000000000001,0.77019,,,0.45820000000000005,,"(325.0, 3586.25)",3261.25
