,Most probable total value (tCO2e/collaborator),Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure
count,147.0,147.0,144.0,120.0,63.0,139.0,94.0
mean,7.891156462585034,0.0016842857142857126,0.0016045833333333313,0.0017374166666666746,0.005949841269841278,0.0015027338129496488,0.0027184722543455862
std,10.04996370994653,0.0011839584174482612,0.0012161936925926303,0.0033438732374734717,0.0349049349266327,0.0019354330698222184,0.004120887402776854
min,0.0,2.999999999997449e-05,6.0000000000060005e-05,0.0,4.0000000000040004e-05,0.0,1.8375597207020977e-05
25%,0.0,0.0007599999999999274,0.0006474999999999675,0.0004775000000000196,0.0005550000000000832,0.00042500000000017524,0.0005879613110240239
50%,5.0,0.0014299999999999313,0.001354999999999995,0.0011150000000000326,0.0013400000000000079,0.0010599999999999499,0.001637946502135829
75%,10.0,0.0024250000000000105,0.002422499999999994,0.0019825000000000537,0.0021449999999999525,0.0019500000000000073,0.003346081561421979
max,60.0,0.005670000000000064,0.005639999999999978,0.031909999999999994,0.27843000000000007,0.018400000000000194,0.03381109886071332
