,Most probable total value (tCO2e/collaborator),Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure
count,147.0,147.0,144.0,119.0,63.0,139.0,95.0
mean,8.061224489795919,0.0016934693877550934,0.0017428472222222194,0.002518907563025203,0.004815555555555564,0.0017995683453237445,0.0037145332589319895
std,9.887188673238619,0.0012814378979822802,0.001300429011080327,0.00588428225105043,0.027344581392685804,0.003122959129634508,0.0069988660625194005
min,0.0,9.99999999995449e-06,2.0000000000020002e-05,0.0,7.999999999996898e-05,9.999999999732445e-06,3.5701535166246045e-05
25%,0.0,0.0006999999999999784,0.0007274999999999088,0.0008299999999999974,0.0006800000000000139,0.0004349999999999632,0.00038783990979962546
50%,5.0,0.0014199999999999768,0.0013800000000000479,0.0013999999999998458,0.0012100000000000444,0.0011400000000000299,0.0017913593256062288
75%,10.0,0.0023299999999999987,0.002410000000000051,0.0020600000000000063,0.0020499999999999963,0.0023249999999999105,0.004400283889283152
max,55.0,0.006019999999999914,0.006829999999999892,0.048229999999999995,0.21830000000000005,0.030620000000000203,0.056266078647556395
