id,Most probable total value (tCO2e/collaborator),Value of sum of declaration and averages,Most important declared scopes,Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure,Interval,Interval lenght
423,20.0,74.76,"[12, 10, 6, 1, 11]",0.89471,0.54362,0.5039,0.53298,0.04159999999999975,0.20645161290322497,"(40.0, 355.0)",315.0
424,45.0,42.37135678996339,"[1, 6, 4, 2, 7]",0.71777,0.51999,0.6782900000000001,0.03388000000000002,,0.002585944630362761,"(65.0, 290.0)",225.0
427,5.0,2.4266666666666667,"[10, 1, 22, 11, 12]",0.5147999999999999,0.55894,0.60665,0.5643400000000001,0.02788999999999997,0.06829089128305575,"(5.0, 15.0)",10.0
428,85.0,55.38161917885151,"[7, 6, 2, 1, 4]",0.66763,0.63761,0.66675,0.7607200000000001,0.1206799999999999,0.3049014653865586,"(105.0, 410.0)",305.0
429,50.0,41.205730003593786,"[2, 1, 6, 3, 4]",0.55655,0.5871999999999999,0.69484,0.52318,0.0441600000000002,0.1477417196386758,"(65.0, 300.0)",235.0
432,45.0,40.34197883402393,"[1, 2, 6, 4, 7]",0.76554,0.61145,0.99995,,0.41376999999999997,,"(60.0, 295.0)",235.0
436,55.0,47.61374315954296,"[1, 4, 2, 6, 5]",0.5518799999999999,0.6534,0.6846,,0.14512999999999998,0.37136642784032753,"(85.0, 360.0)",275.0
437,65.0,46.54703584551818,"[1, 6, 2, 4, 7]",0.79964,0.6535599999999999,0.6974199999999999,,0.28212000000000004,0.34603213541027844,"(80.0, 350.0)",270.0
438,40.0,40.99532794528349,"[1, 6, 2, 10, 7]",0.80184,0.55412,0.06572,0.39171999999999996,,0.00042841842199138516,"(60.0, 280.0)",220.0
451,55.0,47.3633875407663,"[1, 2, 6, 5, 4]",0.80909,0.5408200000000001,,,0.38688999999999996,,"(80.0, 350.0)",270.0
