,Most probable total value (tCO2e/collaborator),Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure
count,147.0,147.0,144.0,119.0,63.0,139.0,95.0
mean,9.081632653061224,0.0014667346938775523,0.0023229166666666676,0.004395966386554617,0.007314920634920632,0.0016685611510791254,0.003536655181133455
std,13.959584621171176,0.0011910592518675634,0.005143011943710298,0.012672787495816172,0.03267307799086009,0.003492197423148911,0.007432042579699369
min,0.0,7.999999999996898e-05,1.0000000000065512e-05,0.0,7.00000000000145e-05,0.0,0.0
25%,0.0,0.0005950000000000122,0.0006674999999999875,0.0007050000000000112,0.0006400000000000294,0.00042000000000008697,0.0008097335171338878
50%,5.0,0.0011799999999999589,0.0014099999999999668,0.0014099999999999113,0.0011799999999999589,0.0008900000000000574,0.0018838304552591945
75%,10.0,0.0021800000000000153,0.0023825000000000374,0.0025450000000000195,0.0024899999999999922,0.0017449999999997745,0.0038075452718392133
max,115.0,0.006340000000000012,0.05292999999999992,0.09705999999999992,0.22474000000000005,0.03483000000000014,0.0640022050716651
