id,Assumption,Most probable total value (tCO2e/collaborator),Value of sum of declaration and averages,Most important declared scopes,Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure,Interval,Interval lenght
77,0,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.66252,0.67736,0.62246,,0.19431999999999994,0.8026435357290377,"(5.0, 25.0)",20.0
77,1,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.7110000000000001,0.72916,0.6545000000000001,,0.2648600000000001,,"(5.0, 15.0)",10.0
77,2,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.60007,0.61102,0.57568,,0.12245000000000006,0.5057827344072702,"(5.0, 130.0)",125.0
88,0,55.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.55904,0.7274,0.80999,,0.25141000000000013,,"(70.0, 310.0)",240.0
88,1,50.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.58169,0.7883100000000001,0.86454,,0.33485,,"(55.0, 175.0)",120.0
88,2,85.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.5378499999999999,0.6399900000000001,0.70357,,0.15341000000000005,,"(225.0, 2540.0)",2325.0
96,0,65.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.70909,0.55375,0.50667,,0.09760999999999986,0.3571533113794359,"(85.0, 360.0)",275.0
96,1,55.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.76041,0.5660499999999999,0.5070600000000001,,0.11546000000000001,0.42246615440907415,"(65.0, 200.0)",135.0
96,2,75.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.6322099999999999,0.53228,0.50164,,0.07029000000000007,0.2571899012074645,"(270.0, 3001.25)",2731.25
108,0,195.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.8827,0.53771,,,0.43679,,"(290.0, 1600.0)",1310.0
108,1,210.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.94191,0.54962,,,0.49649,,"(245.0, 925.0)",680.0
108,2,215.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.76091,0.5223599999999999,,,0.33192,,"(755.0, 10385.0)",9630.0
110,0,45.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.59724,0.5125500000000001,0.57572,0.6291,0.030850000000000044,0.392993630573249,"(65.0, 290.0)",230.0
110,1,40.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.6185700000000001,0.51505,0.59363,0.66571,0.0416399999999999,0.5304458598726102,"(50.0, 165.0)",115.0
110,2,55.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.55817,0.5096,0.54676,0.57986,0.018920000000000048,0.24101910828025538,"(195.0, 2355.0)",2160.0
111,0,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.66544,0.6511,0.5213300000000001,0.85872,0.09705999999999981,,"(0.0, 10.0)",10.0
111,1,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.72203,0.6992700000000001,0.52467,0.90831,0.14637999999999962,,"(0.0, 5.0)",5.0
111,2,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.60222,0.59215,0.51362,0.7447900000000001,0.04532000000000025,0.7114599686028353,"(5.0, 50.0)",45.0
119,0,70.0,45.71913203599437,"[1, 2, 7, 6, 3]",0.70102,0.5179,0.50204,0.63775,0.031360000000000054,0.04849234575537351,"(85.0, 340.0)",255.0
119,1,60.0,45.71913203599437,"[1, 2, 7, 6, 3]",0.76553,0.52649,0.5008900000000001,0.67546,0.04186999999999985,0.06474408535642469,"(60.0, 185.0)",125.0
119,2,95.0,45.71913203599437,"[1, 2, 7, 6, 3]",0.62463,0.51153,0.50002,0.58585,0.02077999999999991,0.03213236431111784,"(275.0, 2900.0)",2625.0
138,0,110.0,80.6780548211705,"[1, 10, 6, 2, 4]",0.79299,0.47507,0.86459,0.9390000000000001,0.21531999999999984,0.38518783542039325,"(135.0, 570.0)",435.0
138,1,105.0,80.6780548211705,"[1, 10, 6, 2, 4]",0.86165,0.46741,0.92741,0.97554,0.29427000000000003,0.5264221824686941,"(105.0, 305.0)",200.0
138,2,115.0,80.6780548211705,"[1, 10, 6, 2, 4]",0.69474,0.48492,0.75064,0.82373,0.10812000000000022,0.1934168157423975,"(405.0, 4656.25)",4295.0
141,0,70.0,50.58227123393115,"[1, 6, 5, 2, 4]",0.79481,0.69882,0.67633,,0.28646000000000005,0.4392210978227539,"(90.0, 380.0)",290.0
141,1,60.0,50.58227123393115,"[1, 6, 5, 2, 4]",0.8616900000000001,0.74507,0.7256199999999999,,0.39341000000000004,0.6032045384851275,"(70.0, 210.0)",140.0
141,2,115.0,50.58227123393115,"[1, 6, 5, 2, 4]",0.69008,0.62355,0.61109,,0.16552999999999995,0.253802514566084,"(290.0, 3170.0)",2975.0
149,0,110.0,75.42889631269611,"[1, 6, 2, 4, 5]",0.72629,0.70275,0.50766,,0.18072999999999995,,"(150.0, 575.0)",425.0
149,1,100.0,75.42889631269611,"[1, 6, 2, 4, 5]",0.78653,0.76073,0.50754,,0.2376499999999998,,"(110.0, 305.0)",195.0
149,2,195.0,75.42889631269611,"[1, 6, 2, 4, 5]",0.64108,0.62541,0.50341,,0.1170899999999998,,"(495.0, 5180.0)",4685.0
154,0,85.0,54.65432891039514,"[1, 7, 6, 2, 4]",0.73287,0.58597,0.54459,0.92092,0.1130199999999999,0.27940667490729276,"(100.0, 410.0)",310.0
154,1,70.0,54.65432891039514,"[1, 7, 6, 2, 4]",0.79175,0.60883,0.56243,0.96556,0.1572699999999998,0.3888009888751541,"(75.0, 220.0)",145.0
154,2,110.0,54.65432891039514,"[1, 7, 6, 2, 4]",0.64808,0.5530999999999999,0.5288999999999999,0.80311,0.05885000000000018,0.14548825710754065,"(325.0, 3490.0)",3165.0
158,0,45.0,40.53861593209827,"[1, 6, 2, 7, 5]",0.71278,0.8421,,,0.5658799999999999,,"(65.0, 295.0)",230.0
158,1,40.0,40.53861593209827,"[1, 6, 2, 7, 5]",0.7685,0.90869,,,0.67967,,"(50.0, 165.0)",115.0
158,2,65.0,40.53861593209827,"[1, 6, 2, 7, 5]",0.63384,0.72939,,,0.4023399999999999,,"(185.0, 2330.0)",2145.0
175,0,50.0,41.567345923037564,"[1, 6, 4, 3, 2]",0.65899,0.538,0.69886,0.60416,0.06017000000000028,0.15850895679662877,"(70.0, 305.0)",235.0
175,1,45.0,41.567345923037564,"[1, 6, 4, 3, 2]",0.70629,0.5484899999999999,0.7376199999999999,0.63978,0.08618999999999988,0.22705479452054764,"(50.0, 170.0)",120.0
