id,Assumption,Most probable total value (tCO2e/collaborator),Value of sum of declaration and averages,Most important declared scopes,Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure,Interval,Interval lenght
77,0,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.66258,0.67859,0.6234299999999999,,0.1962499999999998,0.8106154481619161,"(5.0, 25.0)",20.0
77,1,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.71133,0.73156,0.65808,,0.26704000000000006,,"(5.0, 15.0)",10.0
77,2,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.59946,0.61234,0.5758099999999999,,0.12316000000000005,0.5087154068566712,"(5.0, 125.0)",120.0
88,0,55.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.56114,0.7258899999999999,0.8084,,0.25229,,"(70.0, 315.0)",245.0
88,1,45.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.58123,0.7865,0.8633,,0.33260999999999996,,"(55.0, 175.0)",120.0
88,2,90.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.5354,0.64152,0.70362,,0.1540100000000001,,"(225.0, 2605.0)",2380.0
96,0,65.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.70867,0.55325,0.50446,,0.09736,0.3562385656787412,"(85.0, 350.0)",265.0
96,1,55.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.75947,0.56604,0.5067200000000001,,0.11608000000000007,0.4247347237467985,"(65.0, 200.0)",135.0
96,2,100.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.63049,0.53242,0.5017400000000001,,0.07025000000000003,0.2570435418953531,"(270.0, 2985.0)",2750.0
108,0,205.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.8826,0.53993,,,0.43996000000000013,,"(290.0, 1590.0)",1300.0
108,1,195.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.94171,0.55209,,,0.49924999999999997,,"(245.0, 935.0)",690.0
108,2,225.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.75778,0.5243,,,0.33072,,"(755.0, 10361.25)",9606.25
110,0,45.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.59242,0.51284,0.57602,0.6290899999999999,0.029879999999999796,0.38063694267515663,"(60.0, 290.0)",230.0
110,1,40.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.61774,0.51881,0.59768,0.66185,0.041280000000000205,0.5258598726114676,"(50.0, 165.0)",115.0
110,2,75.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.55856,0.5077,0.54759,0.57689,0.01841000000000015,0.23452229299363248,"(195.0, 2335.0)",2140.0
111,0,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.66533,0.65316,0.52094,0.86036,0.09853,,"(0.0, 10.0)",10.0
111,1,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.72102,0.69796,0.52515,0.90875,0.14719000000000004,,"(0.0, 5.0)",5.0
111,2,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.60207,0.59375,0.5132399999999999,0.74285,0.045709999999999695,0.7175824175824185,"(5.0, 50.0)",45.0
119,0,70.0,45.71913203599437,"[1, 2, 7, 6, 3]",0.69999,0.52044,0.50169,0.63716,0.032310000000000394,0.04996134219885633,"(85.0, 340.0)",260.0
119,1,50.0,45.71913203599437,"[1, 2, 7, 6, 3]",0.76524,0.5257000000000001,0.50036,0.67702,0.04222999999999977,0.06530075769290207,"(60.0, 185.0)",125.0
119,2,115.0,45.71913203599437,"[1, 2, 7, 6, 3]",0.6270899999999999,0.51312,0.50278,0.5860099999999999,0.020959999999999868,0.03241070047935653,"(275.0, 2970.0)",2695.0
138,0,100.0,80.6780548211705,"[1, 10, 6, 2, 4]",0.79604,0.47607,0.86295,0.93941,0.21674000000000004,0.3877280858676208,"(135.0, 575.0)",440.0
138,1,95.0,80.6780548211705,"[1, 10, 6, 2, 4]",0.86055,0.47143,0.92923,0.97593,0.2962499999999999,0.5299642218246867,"(105.0, 310.0)",205.0
138,2,100.0,80.6780548211705,"[1, 10, 6, 2, 4]",0.6931,0.48612999999999995,0.74455,0.82457,0.10986999999999991,0.19654740608228963,"(405.0, 4695.0)",4360.0
141,0,80.0,50.58227123393115,"[1, 6, 5, 2, 4]",0.79383,0.6961999999999999,0.6771400000000001,,0.28922000000000003,0.4434529285495248,"(95.0, 380.0)",290.0
141,1,65.0,50.58227123393115,"[1, 6, 5, 2, 4]",0.86242,0.7427900000000001,0.7253499999999999,,0.3942300000000001,0.6044618215271391,"(70.0, 210.0)",140.0
141,2,90.0,50.58227123393115,"[1, 6, 5, 2, 4]",0.69095,0.62422,0.60991,,0.16453000000000007,0.2522692425636309,"(290.0, 3205.0)",2915.0
149,0,105.0,75.42889631269611,"[1, 6, 2, 4, 5]",0.72422,0.7045699999999999,0.50681,,0.1805199999999998,,"(150.0, 570.0)",420.0
149,1,105.0,75.42889631269611,"[1, 6, 2, 4, 5]",0.78817,0.75959,0.50875,,0.2378300000000001,,"(110.0, 305.0)",195.0
149,2,205.0,75.42889631269611,"[1, 6, 2, 4, 5]",0.64569,0.6265700000000001,0.5050600000000001,,0.11770000000000003,,"(500.0, 5145.0)",4645.0
154,0,80.0,54.65432891039514,"[1, 7, 6, 2, 4]",0.72986,0.5880099999999999,0.5462400000000001,0.9207,0.11351,0.2806180469715699,"(100.0, 410.0)",310.0
154,1,65.0,54.65432891039514,"[1, 7, 6, 2, 4]",0.79332,0.60775,0.5580700000000001,0.9652000000000001,0.15613000000000032,0.3859826946847969,"(75.0, 220.0)",145.0
154,2,120.0,54.65432891039514,"[1, 7, 6, 2, 4]",0.6484099999999999,0.5526,0.52927,0.80438,0.05735999999999997,0.14180469715698388,"(330.0, 3485.0)",3175.0
158,0,40.0,40.53861593209827,"[1, 6, 2, 7, 5]",0.7110000000000001,0.84248,,,0.56442,,"(65.0, 295.0)",230.0
158,1,45.0,40.53861593209827,"[1, 6, 2, 7, 5]",0.7705500000000001,0.90863,,,0.6816800000000001,,"(50.0, 165.0)",115.0
158,2,45.0,40.53861593209827,"[1, 6, 2, 7, 5]",0.63103,0.72749,,,0.39852,,"(185.0, 2350.0)",2165.0
175,0,50.0,41.567345923037564,"[1, 6, 4, 3, 2]",0.65953,0.54061,0.69554,0.60656,0.05933999999999995,0.15632244467860892,"(70.0, 305.0)",235.0
175,1,50.0,41.567345923037564,"[1, 6, 4, 3, 2]",0.70354,0.5503100000000001,0.73915,0.63986,0.08648,0.22781875658587988,"(50.0, 170.0)",120.0
175,2,75.0,41.567345923037564,"[1, 6, 4, 3, 2]",0.59762,0.52251,0.6211599999999999,0.56287,0.029200000000000115,0.07692307692307723,"(220.0, 2595.0)",2375.0
176,0,115.0,60.19231379450125,"[3, 4, 1, 2, 5]",0.51429,0.72786,0.60805,,0.13523999999999992,0.2744875177592854,"(130.0, 490.0)",360.0
176,1,85.0,60.19231379450125,"[3, 4, 1, 2, 5]",0.5194,0.78026,0.64385,,0.17669000000000012,0.3586157905419122,"(95.0, 265.0)",170.0
176,2,175.0,60.19231379450125,"[3, 4, 1, 2, 5]",0.5073,0.64331,0.56433,,0.08780999999999994,0.17822204181043222,"(475.0, 4780.0)",4350.0
179,0,50.0,38.54362917499513,"[10, 2, 6, 1, 4]",0.68282,0.51082,0.52549,0.8089,0.05555000000000021,0.09416850313612513,"(60.0, 270.0)",210.0
179,1,45.0,38.54362917499513,"[10, 2, 6, 1, 4]",0.73219,0.5133,0.5319400000000001,0.86852,0.07590999999999992,0.12868282759789781,"(45.0, 155.0)",110.0
179,2,60.0,38.54362917499513,"[10, 2, 6, 1, 4]",0.61313,0.50437,0.51631,0.70243,0.03285000000000016,0.055687404644855325,"(195.0, 2215.0)",2020.0
180,0,45.0,41.013504492382864,"[1, 6, 4, 7, 5]",0.63916,0.8979,,,0.5481400000000001,0.9713627503101189,"(65.0, 300.0)",235.0
180,1,45.0,41.013504492382864,"[1, 6, 4, 7, 5]",0.68047,0.94343,,,0.62801,,"(50.0, 170.0)",120.0
180,2,70.0,41.013504492382864,"[1, 6, 4, 7, 5]",0.5854699999999999,0.78035,,,0.4055599999999999,0.7186957292220448,"(195.0, 2405.0)",2210.0
187,0,65.0,48.449738338395285,"[6, 1, 2, 4, 5]",0.50755,0.64506,0.95023,,0.2235999999999999,0.25656913367756734,"(85.0, 360.0)",275.0
187,1,55.0,48.449738338395285,"[1, 6, 2, 4, 5]",0.4992,0.69843,0.98217,,0.26346,0.30230636833046476,"(65.0, 200.0)",135.0
187,2,90.0,48.449738338395285,"[6, 1, 2, 4, 5]",0.50161,0.59162,0.8391299999999999,,0.1523,0.17475616752725187,"(275.0, 2975.0)",2700.0
206,0,10.0,11.226231064421425,"[12, 7, 2, 16, 21]",0.04732000000000003,0.7843100000000001,,,0.018710000000000115,0.04557856272838031,"(15.0, 70.0)",55.0
206,1,10.0,11.226231064421425,"[12, 7, 2, 16, 21]",0.017349999999999977,0.84825,,,0.007039999999999935,0.017149817295980356,"(10.0, 40.0)",30.0
206,2,10.0,11.226231064421425,"[12, 7, 2, 16, 21]",0.15403,0.68363,,,0.061490000000000045,0.1497929354445799,"(35.0, 445.0)",410.0
209,0,75.0,54.132177697977504,"[1, 6, 5, 4, 3]",0.68479,,,,0.68479,,"(100.0, 405.0)",305.0
209,1,75.0,54.132177697977504,"[1, 6, 5, 4, 3]",0.73665,,,,0.73665,,"(75.0, 220.0)",145.0
