,Most probable total value (tCO2e/collaborator),Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure
count,147.0,147.0,144.0,120.0,63.0,139.0,95.0
mean,8.877551020408163,0.001687755102040814,0.001517013888888886,0.00225066666666666,0.007299365079365082,0.0013072661870503393,0.002556854503167526
std,14.474776341132314,0.001286527020793045,0.0012811713826392835,0.00651977325137154,0.03252625494705311,0.001458186686998012,0.0037517591129469573
min,0.0,1.0000000000065512e-05,0.0,0.0,7.999999999996898e-05,0.0,0.0
25%,0.0,0.0006499999999999839,0.0004925000000000346,0.0004899999999999627,0.0006200000000000094,0.0003399999999996739,0.0005424855335638768
50%,5.0,0.0013400000000000079,0.0011000000000000454,0.0011049999999999671,0.0014300000000000423,0.0008699999999998154,0.0013467189030369059
75%,10.0,0.0025149999999999895,0.0022824999999999374,0.001949999999999924,0.0025600000000000067,0.001854999999999829,0.002990240376644318
max,95.0,0.006260000000000043,0.005619999999999958,0.053120000000000056,0.22409999999999997,0.01093999999999995,0.026059654631079843
