id,Assumption,Most probable total value (tCO2e/collaborator),Value of sum of declaration and averages,Most important declared scopes,Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure,Interval,Interval lenght
77,0,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.66184,0.679,0.62234,,0.19511999999999996,0.8059479553903347,"(5.0, 25.0)",20.0
77,1,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.70865,0.7297899999999999,0.65496,,0.2643500000000001,,"(5.0, 15.0)",10.0
77,2,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.59735,0.60805,0.57185,,0.12144999999999995,0.5016522098306485,"(5.0, 125.0)",120.0
88,0,50.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.55856,0.7252000000000001,0.80833,,0.25189000000000006,,"(70.0, 310.0)",240.0
88,1,40.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.5822700000000001,0.78542,0.86154,,0.33313000000000004,,"(55.0, 170.0)",115.0
88,2,60.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.5343800000000001,0.63912,0.6999,,0.14948000000000006,,"(225.0, 2525.0)",2300.0
96,0,65.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.70794,0.55009,0.5042,,0.0969199999999999,0.35462861324551725,"(85.0, 350.0)",265.0
96,1,55.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.75651,0.563,0.5060899999999999,,0.11387999999999987,0.41668496158067997,"(60.0, 195.0)",135.0
96,2,80.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.6293599999999999,0.52966,0.50044,,0.0693100000000002,0.25360409806073975,"(265.0, 2950.0)",2685.0
108,0,180.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.88058,0.5389900000000001,,,0.43611999999999995,,"(285.0, 1585.0)",1300.0
108,1,170.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.94109,0.54947,,,0.49707,,"(245.0, 915.0)",670.0
108,2,195.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.75787,0.52135,,,0.32970999999999995,,"(750.0, 10265.0)",9515.0
110,0,40.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.59517,0.5084,0.5728,0.6250899999999999,0.029920000000000058,0.38114649681528734,"(60.0, 285.0)",225.0
110,1,35.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.6222,0.5095000000000001,0.5935,0.6612899999999999,0.0406099999999997,0.5173248407643274,"(50.0, 165.0)",115.0
110,2,60.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.55907,0.5059199999999999,0.54375,0.57682,0.018779999999999797,0.23923566878980632,"(195.0, 2325.0)",2130.0
111,0,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.6614,0.65201,0.51999,0.80079,0.08950000000000025,,"(0.0, 10.0)",10.0
111,1,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.72027,0.69641,0.5249900000000001,0.83325,0.13019000000000014,,"(0.0, 5.0)",5.0
111,2,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.5978399999999999,0.59495,0.51021,0.71694,0.04503999999999986,0.7070643642072247,"(5.0, 50.0)",45.0
