id,Assumption,Most probable total value (tCO2e/collaborator),Value of sum of declaration and averages,Most important declared scopes,Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure,Interval,Interval lenght
77,0,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.62054,0.63052,0.62338,,0.14138000000000017,0.5839735646427106,"(5.0, 25.0)",20.0
77,1,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.63708,0.64698,0.65527,,0.16788999999999998,0.6934737711689387,"(5.0, 15.0)",10.0
77,2,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.58309,0.59866,0.5745100000000001,,0.1052700000000002,0.434820322180918,"(5.0, 130.0)",125.0
88,0,50.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.55618,0.66488,0.74848,,0.19099999999999995,,"(70.0, 310.0)",240.0
88,1,45.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.58245,0.68422,0.77533,,0.23173999999999995,,"(55.0, 175.0)",120.0
88,2,75.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.53582,0.62246,0.68108,,0.13548000000000016,,"(225.0, 2625.0)",2400.0
96,0,60.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.70826,0.5381,0.50441,,0.0680700000000003,0.2490669593852919,"(85.0, 355.0)",270.0
96,1,50.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.7589,0.54288,0.5033000000000001,,0.06947999999999976,0.2542261251372109,"(65.0, 200.0)",135.0
96,2,75.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.62664,0.5304800000000001,0.50159,,0.05887000000000009,0.21540431759970752,"(265.0, 3015.0)",2750.0
108,0,150.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.8802,0.5253300000000001,,,0.4333600000000001,,"(290.0, 1585.0)",1295.0
108,1,205.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.94144,0.53119,,,0.48641,,"(245.0, 920.0)",675.0
108,2,165.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.75909,0.5179400000000001,,,0.33163,,"(755.0, 10350.0)",9595.0
110,0,40.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.56829,0.50963,0.57475,0.6274,0.022130000000000205,0.28191082802548034,"(65.0, 290.0)",225.0
110,1,45.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.5755600000000001,0.50851,0.59556,0.65958,0.026450000000000307,0.3369426751592396,"(50.0, 165.0)",115.0
110,2,50.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.54968,0.50854,0.5421199999999999,0.5774699999999999,0.01637999999999984,0.20866242038216357,"(195.0, 2330.0)",2135.0
111,0,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.66484,0.61161,0.5160899999999999,0.85824,0.06750999999999985,,"(0.0, 10.0)",10.0
111,1,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.71894,0.62919,0.5182,0.90893,0.09155999999999975,,"(0.0, 5.0)",5.0
111,2,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.59901,0.58031,0.50971,0.74127,0.03859999999999986,0.6059654631083228,"(5.0, 50.0)",45.0
119,0,55.0,45.71913203599437,"[1, 2, 6, 7, 3]",0.70086,0.51251,0.49941,0.63605,0.020950000000000024,0.032395237358899064,"(85.0, 340.0)",255.0
119,1,55.0,45.71913203599437,"[1, 2, 6, 7, 3]",0.76454,0.52528,0.5008699999999999,0.6119600000000001,0.027799999999999825,0.04298747487242898,"(60.0, 185.0)",125.0
119,2,90.0,45.71913203599437,"[1, 2, 6, 7, 3]",0.62531,0.50973,0.5015000000000001,0.58186,0.017269999999999897,0.026704809030462184,"(275.0, 2915.0)",2640.0
138,0,100.0,80.6780548211705,"[1, 10, 6, 2, 4]",0.79588,0.47445000000000004,0.78383,0.93823,0.17152,0.30683363148479426,"(135.0, 570.0)",435.0
138,1,85.0,80.6780548211705,"[1, 10, 6, 2, 4]",0.85824,0.46951,0.81338,0.9753000000000001,0.2212900000000002,0.395867620751342,"(105.0, 305.0)",200.0
138,2,95.0,80.6780548211705,"[1, 10, 6, 2, 4]",0.6918,0.48336999999999997,0.7138800000000001,0.82412,0.0924600000000001,0.16540250447227206,"(395.0, 4675.0)",4280.0
141,0,70.0,50.58227123393115,"[1, 6, 5, 2, 4]",0.72465,0.64561,0.67611,,0.2141900000000001,0.32841153020545866,"(90.0, 380.0)",290.0
141,1,60.0,50.58227123393115,"[1, 6, 5, 2, 4]",0.75074,0.6627000000000001,0.72387,,0.26319000000000004,0.4035418583256671,"(70.0, 210.0)",140.0
141,2,90.0,50.58227123393115,"[1, 6, 5, 2, 4]",0.6645300000000001,0.6102799999999999,0.609,,0.14323999999999992,0.21962588163140134,"(290.0, 3235.0)",2945.0
149,0,120.0,75.42889631269611,"[1, 6, 2, 4, 5]",0.66971,0.6463300000000001,0.50726,,0.13067000000000029,,"(150.0, 570.0)",420.0
149,1,100.0,75.42889631269611,"[1, 6, 2, 4, 5]",0.69208,0.66493,0.50771,,0.15164000000000022,,"(110.0, 300.0)",190.0
149,2,150.0,75.42889631269611,"[1, 6, 2, 4, 5]",0.62732,0.60745,0.5014799999999999,,0.10193999999999992,,"(495.0, 5160.0)",4665.0
154,0,80.0,54.65432891039514,"[1, 7, 6, 2, 4]",0.73095,0.56045,0.5349900000000001,0.9198,0.0782799999999999,0.19352286773794788,"(100.0, 410.0)",310.0
154,1,65.0,54.65432891039514,"[1, 7, 6, 2, 4]",0.7891900000000001,0.5680499999999999,0.53721,0.96392,0.09157000000000004,0.2263782447466009,"(75.0, 220.0)",145.0
154,2,90.0,54.65432891039514,"[1, 7, 6, 2, 4]",0.64691,0.54323,0.52319,0.80128,0.047840000000000105,0.11826946847960473,"(325.0, 3510.0)",3185.0
158,0,40.0,40.53861593209827,"[1, 6, 2, 7, 5]",0.65974,0.7623,,,0.43006999999999995,,"(65.0, 290.0)",225.0
158,1,40.0,40.53861593209827,"[1, 6, 2, 7, 5]",0.67841,0.7910699999999999,,,0.47112,,"(50.0, 165.0)",115.0
158,2,45.0,40.53861593209827,"[1, 6, 2, 7, 5]",0.61633,0.6972700000000001,,,0.3486,,"(185.0, 2335.0)",2150.0
175,0,40.0,41.567345923037564,"[1, 6, 4, 3, 2]",0.61374,0.52952,0.69587,0.6041000000000001,0.04339000000000004,0.11430453108535311,"(70.0, 305.0)",235.0
175,1,45.0,41.567345923037564,"[1, 6, 4, 3, 2]",0.6317999999999999,0.5318499999999999,0.73944,0.6394299999999999,0.05588000000000004,0.14720758693361444,"(50.0, 175.0)",125.0
175,2,50.0,41.567345923037564,"[1, 6, 4, 3, 2]",0.58438,0.52061,0.6196200000000001,0.56045,0.024939999999999962,0.06570073761854574,"(225.0, 2635.0)",2410.0
176,0,85.0,60.19231379450125,"[3, 4, 1, 2, 5]",0.51254,0.72516,0.60499,,0.1342500000000002,0.27247818144915814,"(130.0, 490.0)",360.0
176,1,90.0,60.19231379450125,"[3, 4, 1, 2, 5]",0.51603,0.7809699999999999,0.6435500000000001,,0.17562,0.35644408362086466,"(95.0, 260.0)",165.0
176,2,130.0,60.19231379450125,"[3, 4, 1, 2, 5]",0.50817,0.63904,0.56195,,0.08564999999999989,0.17383803531560768,"(465.0, 4770.0)",4305.0
179,0,40.0,38.54362917499513,"[10, 2, 6, 1, 4]",0.68069,0.50863,0.51315,0.81013,0.03846999999999978,0.06521444312595319,"(60.0, 270.0)",210.0
179,1,40.0,38.54362917499513,"[10, 2, 6, 1, 4]",0.73009,0.50821,0.5202100000000001,0.86731,0.04444000000000026,0.07533480250890025,"(45.0, 155.0)",110.0
179,2,45.0,38.54362917499513,"[10, 2, 6, 1, 4]",0.6129800000000001,0.50284,0.5143599999999999,0.6998599999999999,0.025399999999999867,0.04305814544838086,"(195.0, 2200.0)",2005.0
180,0,45.0,41.013504492382864,"[1, 6, 4, 7, 5]",0.5986199999999999,0.83519,,,0.44275,0.7846003898635476,"(65.0, 296.25)",231.25
180,1,40.0,41.013504492382864,"[1, 6, 4, 7, 5]",0.6123799999999999,0.86181,,,0.47689000000000004,0.8451001240474925,"(50.0, 170.0)",120.0
180,2,45.0,41.013504492382864,"[1, 6, 4, 7, 5]",0.5733900000000001,0.74899,,,0.36095999999999995,0.639659755449229,"(195.0, 2365.0)",2170.0
187,0,65.0,48.449738338395285,"[6, 1, 2, 4, 5]",0.50063,0.6448,0.9480999999999999,,0.21900999999999993,0.2513023522662076,"(85.0, 360.0)",275.0
187,1,60.0,48.449738338395285,"[1, 6, 2, 4, 5]",0.50034,0.62612,0.98199,,0.16592000000000007,0.1903843947217442,"(65.0, 200.0)",135.0
187,2,65.0,48.449738338395285,"[6, 1, 2, 4, 5]",0.49948000000000004,0.58721,0.83908,,0.15098,0.173241537578887,"(275.0, 3000.0)",2725.0
206,0,10.0,11.226231064421425,"[12, 7, 2, 16, 21]",0.045640000000000014,0.78465,,,0.018199999999999994,0.0443361753958587,"(15.0, 70.0)",55.0
206,1,10.0,11.226231064421425,"[12, 7, 2, 16, 21]",0.017279999999999962,0.84638,,,0.006719999999999837,0.01637028014616282,"(10.0, 40.0)",30.0
206,2,10.0,11.226231064421425,"[12, 7, 2, 16, 21]",0.15425,0.68336,,,0.060290000000000066,0.14686967113276508,"(35.0, 445.0)",410.0
209,0,75.0,54.132177697977504,"[1, 6, 5, 4, 3]",0.6383099999999999,,,,0.6383099999999999,,"(100.0, 410.0)",310.0
209,1,70.0,54.132177697977504,"[1, 6, 5, 4, 3]",0.65357,,,,0.65357,,"(75.0, 225.0)",150.0
209,2,95.0,54.132177697977504,"[1, 6, 5, 4, 3]",0.6007100000000001,,,,0.6007100000000001,,"(315.0, 3475.0)",3160.0
211,0,65.0,53.75864652418655,"[7, 6, 10, 2, 1]",0.7287699999999999,0.39483,0.82733,0.6246,0.06816000000000011,,"(90.0, 390.0)",300.0
211,1,55.0,53.75864652418655,"[7, 6, 10, 2, 1]",0.74872,0.36053999999999997,0.8923,0.67187,0.09370999999999985,,"(70.0, 225.0)",155.0
211,2,85.0,53.75864652418655,"[7, 6, 10, 2, 1]",0.66815,0.43299,0.71942,0.57572,0.0394300000000003,,"(270.0, 3075.0)",2805.0
227,0,30.0,20.014371038576503,"[1, 2, 6, 7, 10]",0.67577,0.6653800000000001,0.05276000000000003,0.39009000000000005,,0.0022448115205432116,"(35.0, 140.0)",105.0
227,1,25.0,20.014371038576503,"[1, 2, 6, 7, 10]",0.73514,0.6847,0.018769999999999953,0.36027,,0.0007200338839489051,"(30.0, 80.0)",50.0
227,2,30.0,20.014371038576503,"[1, 2, 6, 7, 10]",0.6081799999999999,0.62012,0.19782999999999995,0.43225,0.0022900000000001253,0.009699279966116579,"(105.0, 1025.0)",920.0
236,0,80.0,49.76022964602945,"[6, 1, 2, 4, 5]",0.5529,0.5204,0.94055,,0.18730999999999998,0.2532585181179015,"(90.0, 370.0)",280.0
236,1,70.0,49.76022964602945,"[6, 1, 2, 4, 5]",0.56043,0.52713,0.97727,,0.2214799999999999,0.2994591671173606,"(70.0, 205.0)",135.0
236,2,100.0,49.76022964602945,"[6, 1, 2, 4, 5]",0.5404100000000001,0.50978,0.82731,,0.13158000000000003,0.17790697674418607,"(300.0, 3195.0)",2895.0
