,Most probable total value (tCO2e/collaborator),Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure
count,147.0,147.0,144.0,120.0,63.0,139.0,97.0
mean,8.061224489795919,0.0029683673469387763,0.011673055555555562,0.019734583333333333,0.02781063492063492,0.01838179856115107,0.034544614499794964
std,12.543745092918162,0.00884358703031536,0.023964332128697318,0.029623743568600633,0.04599121959934892,0.028375537082366425,0.05184618191807791
min,0.0,9.99999999995449e-06,1.0000000000065512e-05,0.0,7.00000000000145e-05,0.0,0.0
25%,0.0,0.0006299999999999639,0.0005674999999999708,0.0009375000000000078,0.0012300000000000644,0.0010250000000001647,0.0013398294762483297
50%,5.0,0.0013400000000001189,0.0015200000000000213,0.0027149999999999674,0.003310000000000035,0.004710000000000103,0.009924623115576625
75%,10.0,0.0023599999999999732,0.00396249999999998,0.031354999999999966,0.03976999999999997,0.023509999999999864,0.044567427151570194
max,95.0,0.08958999999999995,0.10238000000000003,0.11048000000000002,0.2780100000000001,0.14324000000000003,0.22274678111587998
