id,Assumption,Most probable total value (tCO2e/collaborator),Value of sum of declaration and averages,Most important declared scopes,Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure,Interval,Interval lenght
77,0,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.6627000000000001,0.68069,0.62242,,0.19651000000000007,0.8116893845518387,"(5.0, 25.0)",20.0
77,1,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.7098,0.73258,0.65576,,0.26656,,"(5.0, 15.0)",10.0
77,2,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.60015,0.61205,0.57559,,0.12417,0.5128872366790584,"(5.0, 130.0)",125.0
88,0,55.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.5585,0.72787,0.80971,,0.25281,,"(70.0, 315.0)",245.0
88,1,45.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.58443,0.78595,0.86375,,0.3362100000000001,,"(55.0, 175.0)",120.0
88,2,75.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.5375099999999999,0.64245,0.70021,,0.15242999999999995,,"(225.0, 2595.0)",2370.0
96,0,75.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.7095199999999999,0.55513,0.5042,,0.09733999999999987,0.3561653860226851,"(85.0, 355.0)",270.0
96,1,65.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.76084,0.5662400000000001,0.50448,,0.11497000000000013,0.420673252835712,"(65.0, 200.0)",135.0
96,2,100.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.63028,0.53059,0.50017,,0.07099999999999995,0.25978777899743843,"(270.0, 2990.0)",2720.0
108,0,200.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.88137,0.53904,,,0.43639000000000006,,"(290.0, 1565.0)",1280.0
108,1,210.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.94212,0.54984,,,0.49715,,"(245.0, 925.0)",680.0
108,2,275.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.75795,0.52451,,,0.33172999999999997,,"(765.0, 10500.0)",9825.0
110,0,45.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.59663,0.5101800000000001,0.5774900000000001,0.62783,0.029970000000000052,0.3817834394904465,"(65.0, 290.0)",230.0
110,1,40.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.6193,0.51637,0.59387,0.66259,0.04048000000000018,0.5156687898089195,"(50.0, 165.0)",115.0
110,2,55.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.55931,0.50817,0.5462,0.57744,0.018990000000000173,0.24191082802547992,"(195.0, 2340.0)",2145.0
111,0,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.66494,0.65486,0.5201100000000001,0.8579600000000001,0.09723000000000004,,"(0.0, 10.0)",10.0
111,1,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.71838,0.6993199999999999,0.52432,0.90946,0.1467799999999997,,"(0.0, 5.0)",5.0
111,2,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.60039,0.59543,0.51213,0.7423299999999999,0.045440000000000036,0.713343799058091,"(5.0, 50.0)",45.0
119,0,65.0,45.71913203599437,"[1, 2, 7, 6, 3]",0.70228,0.5206500000000001,0.50198,0.64132,0.03255000000000008,0.05033245708984085,"(85.0, 340.0)",260.0
119,1,55.0,45.71913203599437,"[1, 2, 7, 6, 3]",0.76721,0.5245,0.50358,0.67742,0.0423300000000002,0.06545538889747982,"(60.0, 185.0)",125.0
119,2,105.0,45.71913203599437,"[1, 2, 7, 6, 3]",0.62599,0.5127999999999999,0.5036499999999999,0.58584,0.021039999999999948,0.03253440544301832,"(275.0, 2945.0)",2670.0
138,0,100.0,80.6780548211705,"[1, 10, 6, 2, 4]",0.79776,0.47626,0.86504,0.9381,0.22061999999999993,0.39466905187835405,"(135.0, 575.0)",440.0
