,Most probable total value (tCO2e/collaborator),Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure
count,147.0,147.0,144.0,119.0,63.0,139.0,95.0
mean,9.081632653061224,0.0016484353741496613,0.0016977083333333278,0.0029826890756302618,0.011538253968253958,0.0015948201438849064,0.003395472407256451
std,11.66044138129418,0.0012336762639442974,0.0015056832748376534,0.008189699472712919,0.04727107925570323,0.0032086462341341018,0.006893301392099307
min,0.0,1.0000000000065512e-05,1.0000000000065512e-05,1.0000000000065512e-05,4.999999999988347e-05,9.999999999843467e-06,0.0
25%,0.0,0.0006599999999999939,0.0004899999999999904,0.0005250000000000532,0.0006849999999999912,0.0003949999999998677,0.0007207422179272527
50%,5.0,0.0014699999999999713,0.0012749999999999706,0.0011900000000000244,0.0012399999999999078,0.0008799999999999919,0.0018547959724425356
75%,12.5,0.0023900000000000032,0.00240750000000009,0.0021100000000000563,0.0021599999999999953,0.0017700000000001048,0.0037680365460203424
max,65.0,0.006510000000000016,0.007839999999999847,0.05490000000000006,0.28032,0.031429999999999736,0.05775450202131521
