,Most probable total value (tCO2e/collaborator),Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure
count,147.0,147.0,144.0,120.0,63.0,139.0,95.0
mean,8.571428571428571,0.001492653061224488,0.0014659722222222227,0.0021799999999999988,0.0038146031746031776,0.0014746762589927973,0.002940142170604935
std,11.210929109884216,0.0011752145397439164,0.001062851632933114,0.005560644270755168,0.017893762909172207,0.0019608210725332005,0.004686163493095884
min,0.0,0.0,1.0000000000065512e-05,0.0,1.0000000000065512e-05,1.0000000000398579e-05,7.927333271154279e-16
25%,0.0,0.0005599999999998939,0.0006399999999999739,0.0005050000000000054,0.0006200000000000094,0.0004549999999998722,0.0005418533557516279
50%,5.0,0.0011499999999999844,0.0012899999999999578,0.0010299999999999754,0.0013199999999999878,0.0010199999999999099,0.001717264642747629
75%,10.0,0.0022300000000000098,0.0020499999999999963,0.002014999999999989,0.002599999999999991,0.0018799999999999373,0.0033317636357062114
max,75.0,0.0049400000000000555,0.005070000000000019,0.05658999999999992,0.14327999999999996,0.015559999999999907,0.028592429253950558
