id,Assumption,Most probable total value (tCO2e/collaborator),Value of sum of declaration and averages,Most important declared scopes,Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure,Interval,Interval lenght
77,0,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.66125,0.67997,0.62373,,0.19496000000000013,0.8052870714580761,"(5.0, 25.0)",20.0
77,1,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.7109300000000001,0.72982,0.6544,,0.264,,"(5.0, 15.0)",10.0
77,2,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.60233,0.61172,0.57654,,0.1242899999999999,0.5133828996282526,"(5.0, 130.0)",125.0
88,0,50.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.55891,0.72731,0.81019,,0.2529699999999999,,"(80.0, 420.0)",340.0
88,1,45.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.58168,0.78696,0.86321,,0.33277,,"(60.0, 240.0)",180.0
88,2,80.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.53845,0.64122,0.70145,,0.15289000000000008,,"(240.0, 3090.0)",2850.0
96,0,65.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.70915,0.55332,0.50451,,0.09901999999999989,0.36231247713135695,"(90.0, 465.0)",375.0
96,1,60.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.76062,0.5664899999999999,0.50424,,0.11547000000000007,0.4225027442371022,"(70.0, 270.0)",200.0
96,2,100.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.62879,0.53223,0.50305,,0.06952999999999998,0.2544090742773507,"(290.0, 3495.0)",3205.0
108,0,200.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.88066,0.53818,,,0.4347699999999999,,"(320.0, 1835.0)",1515.0
108,1,210.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.9435,0.55111,,,0.49817,,"(270.0, 1065.0)",795.0
108,2,240.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.75827,0.5244,,,0.33044000000000007,,"(815.0, 11390.0)",10575.0
110,0,50.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.59676,0.5124,0.5756,0.6298,0.03041999999999978,0.3875159235668762,"(70.0, 400.0)",330.0
110,1,45.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.6202099999999999,0.51708,0.5972299999999999,0.6616500000000001,0.04122999999999999,0.5252229299363056,"(55.0, 235.0)",180.0
110,2,65.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.5583,0.50844,0.54808,0.5779099999999999,0.018809999999999993,0.23961783439490436,"(210.0, 2860.0)",2650.0
111,0,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.6656,0.6514,0.52146,0.85718,0.09710000000000008,,"(0.0, 10.0)",10.0
111,1,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.72115,0.69796,0.5263,0.90864,0.14722000000000035,,"(0.0, 5.0)",5.0
111,2,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.6030800000000001,0.59334,0.5106299999999999,0.74177,0.04515999999999998,0.7089481946624857,"(5.0, 55.0)",50.0
119,0,70.0,45.71913203599437,"[1, 2, 7, 6, 3]",0.70236,0.52035,0.49983,0.6393599999999999,0.032460000000000044,0.05019328900572142,"(90.0, 440.0)",350.0
119,1,55.0,45.71913203599437,"[1, 2, 7, 6, 3]",0.76629,0.52405,0.50379,0.67605,0.04235999999999984,0.06550177825885238,"(65.0, 255.0)",190.0
119,2,90.0,45.71913203599437,"[1, 2, 7, 6, 3]",0.62656,0.5106200000000001,0.50247,0.58175,0.020600000000000063,0.031854028142879326,"(295.0, 3450.0)",3155.0
138,0,115.0,80.6780548211705,"[1, 10, 6, 2, 4]",0.79754,0.48302,0.86463,0.93972,0.21750000000000014,0.3890876565295172,"(150.0, 715.0)",565.0
138,1,100.0,80.6780548211705,"[1, 10, 6, 2, 4]",0.86022,0.48206000000000004,0.92823,0.97606,0.29347999999999996,0.5250089445438282,"(115.0, 390.0)",275.0
138,2,110.0,80.6780548211705,"[1, 10, 6, 2, 4]",0.69431,0.48572000000000004,0.74909,0.82355,0.10887999999999998,0.19477638640429332,"(435.0, 5530.0)",5095.0
141,0,70.0,50.58227123393115,"[1, 6, 5, 2, 4]",0.79498,0.6965600000000001,0.6755,,0.28961000000000003,0.4440509046304816,"(100.0, 500.0)",400.0
141,1,60.0,50.58227123393115,"[1, 6, 5, 2, 4]",0.86217,0.74331,0.72306,,0.3929800000000001,0.6025452315240727,"(75.0, 285.0)",210.0
141,2,100.0,50.58227123393115,"[1, 6, 5, 2, 4]",0.6907,0.6258,0.61083,,0.1668599999999999,0.2558417663293467,"(310.0, 3735.0)",3425.0
